# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/overall-score-declines
# rows: 1167 (excluding this header and the column row)
# ranking: Texas school districts with the largest overall score declines since 2021-22
# population: 1,167 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 17 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,1167,0,072910,Morgan Mill ISD,Erath,F,-38,91,53,132,https://txschools.net/district/morgan-mill-isd-072910
2,1167,0,019913,Hubbard ISD,Bowie,F,-35,87,52,54,https://txschools.net/district/hubbard-isd-019913
3,1167,0,227805,Texas Empowerment Academy,Travis,F,-31,88,57,760,https://txschools.net/district/texas-empowerment-academy-227805
4,1167,0,125906,La Gloria ISD,Jim Wells,D,-29,93,64,126,https://txschools.net/district/la-gloria-isd-125906
5,1167,0,109908,Malone ISD,Hill,F,-27,71,44,64,https://txschools.net/district/malone-isd-109908
6,1167,2,178807,Corpus Christi Montessori School,Nueces,F,-26,75,49,132,https://txschools.net/district/corpus-christi-montessori-school-178807
6,1167,2,201903,Laneville ISD,Rusk,D,-26,95,69,104,https://txschools.net/district/laneville-isd-201903
6,1167,2,101814,The Varnett Public School,Harris,D,-26,90,64,1084,https://txschools.net/district/the-varnett-public-school-101814
9,1167,0,101873,Yellowstone College Preparatory,Harris,D,-25,91,66,361,https://txschools.net/district/yellowstone-college-preparatory-101873
10,1167,2,101872,Etoile Academy Charter School,Harris,F,-24,83,59,1064,https://txschools.net/district/etoile-academy-charter-school-101872
10,1167,2,057809,Nova Academy,Dallas,F,-24,71,47,67,https://txschools.net/district/nova-academy-057809
10,1167,2,143904,Vysehrad ISD,Lavaca,D,-24,87,63,46,https://txschools.net/district/vysehrad-isd-143904
13,1167,0,161924,Hallsburg ISD,McLennan,F,-23,82,59,106,https://txschools.net/district/hallsburg-isd-161924
14,1167,0,186901,Buena Vista ISD,Pecos,D,-22,86,64,235,https://txschools.net/district/buena-vista-isd-186901
15,1167,0,228905,Apple Springs ISD,Trinity,D,-20,89,69,156,https://txschools.net/district/apple-springs-isd-228905
16,1167,1,071810,El Paso Leadership Academy,El Paso,F,-19,77,58,665,https://txschools.net/district/el-paso-leadership-academy-071810
16,1167,1,167902,Mullin ISD,Mills,C,-19,90,71,176,https://txschools.net/district/mullin-isd-167902
18,1167,1,143905,Sweet Home ISD,Lavaca,C,-18,93,75,164,https://txschools.net/district/sweet-home-isd-143905
18,1167,1,101840,Two Dimensions Preparatory Academy,Harris,D,-18,80,62,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
20,1167,4,185901,Bovina ISD,Parmer,D,-17,86,69,370,https://txschools.net/district/bovina-isd-185901
20,1167,4,233903,Comstock ISD,Val Verde,C,-17,91,74,166,https://txschools.net/district/comstock-isd-233903
20,1167,4,101874,Legacy School of Sport Sciences,Harris,D,-17,86,69,550,https://txschools.net/district/legacy-school-of-sport-sciences-101874
20,1167,4,098903,Pringle-Morse CISD,Hansford,C,-17,90,73,126,https://txschools.net/district/pringle-morse-cisd-098903
