# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/overall-score-gains
# rows: 1017 (excluding this header and the column row)
# ranking: Texas school districts with the largest overall score gains since 2021-22
# population: 1,017 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 2 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,1017,1,058902,Dawson ISD,Dawson,B,30,51,81,145,https://txschools.net/district/dawson-isd-058902
1,1017,1,160905,Lohn ISD,McCulloch,B,30,56,86,109,https://txschools.net/district/lohn-isd-160905
3,1017,0,039904,Bellevue ISD,Clay,A,28,64,92,242,https://txschools.net/district/bellevue-isd-039904
4,1017,0,238904,Grandfalls-Royalty ISD,Ward,C,23,52,75,121,https://txschools.net/district/grandfalls-royalty-isd-238904
5,1017,1,025904,Blanket ISD,Brown,B,22,59,81,151,https://txschools.net/district/blanket-isd-025904
5,1017,1,138902,Knox City-O'Brien CISD,Knox,A,22,73,95,183,https://txschools.net/district/knox-city-o-brien-cisd-138902
7,1017,1,206903,Cherokee ISD,San Saba,B,20,69,89,127,https://txschools.net/district/cherokee-isd-206903
7,1017,1,085903,Southland ISD,Garza,B,20,65,85,145,https://txschools.net/district/southland-isd-085903
9,1017,0,187903,Goodrich ISD,Polk,B,19,67,86,270,https://txschools.net/district/goodrich-isd-187903
10,1017,1,072904,Bluff Dale ISD,Erath,B,18,69,87,226,https://txschools.net/district/bluff-dale-isd-072904
10,1017,1,237902,Hempstead ISD,Waller,C,18,59,77,1563,https://txschools.net/district/hempstead-isd-237902
