# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/overall-score-lowest
# rows: 1019 (excluding this header and the column row)
# ranking: Texas school districts with the lowest overall score in 2025-26
# population: 1,019 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1019,0,109908,Malone ISD,Hill,F,44,64,https://txschools.net/district/malone-isd-109908
2,1019,1,019913,Hubbard ISD,Bowie,F,52,54,https://txschools.net/district/hubbard-isd-019913
2,1019,1,028906,Prairie Lea ISD,Caldwell,F,52,276,https://txschools.net/district/prairie-lea-isd-028906
4,1019,0,072910,Morgan Mill ISD,Erath,F,53,132,https://txschools.net/district/morgan-mill-isd-072910
5,1019,0,177901,Roscoe Collegiate ISD,Nolan,F,57,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
6,1019,0,241904,Wharton ISD,Wharton,F,58,1707,https://txschools.net/district/wharton-isd-241904
7,1019,1,161924,Hallsburg ISD,McLennan,F,59,106,https://txschools.net/district/hallsburg-isd-161924
7,1019,1,232903,Uvalde CISD,Uvalde,F,59,3815,https://txschools.net/district/uvalde-cisd-232903
9,1019,0,018907,Kopperl ISD,Bosque,D,62,163,https://txschools.net/district/kopperl-isd-018907
10,1019,4,024901,Brooks County ISD,Brooks,D,63,1074,https://txschools.net/district/brooks-county-isd-024901
10,1019,4,146905,Hull-Daisetta ISD,Liberty,D,63,425,https://txschools.net/district/hull-daisetta-isd-146905
10,1019,4,189901,Marfa ISD,Presidio,D,63,339,https://txschools.net/district/marfa-isd-189901
10,1019,4,022004,Terlingua CSD,Brewster,D,63,140,https://txschools.net/district/terlingua-csd-022004
10,1019,4,143904,Vysehrad ISD,Lavaca,D,63,46,https://txschools.net/district/vysehrad-isd-143904
15,1019,3,186901,Buena Vista ISD,Pecos,D,64,235,https://txschools.net/district/buena-vista-isd-186901
15,1019,3,198905,Hearne ISD,Robertson,D,64,719,https://txschools.net/district/hearne-isd-198905
15,1019,3,125906,La Gloria ISD,Jim Wells,D,64,126,https://txschools.net/district/la-gloria-isd-125906
15,1019,3,237905,Royal ISD,Waller,D,64,3086,https://txschools.net/district/royal-isd-237905
19,1019,1,146901,Cleveland ISD,Liberty,D,65,12648,https://txschools.net/district/cleveland-isd-146901
19,1019,1,107908,Murchison ISD,Henderson,D,65,187,https://txschools.net/district/murchison-isd-107908
21,1019,9,227910,Del Valle ISD,Travis,D,66,11766,https://txschools.net/district/del-valle-isd-227910
21,1019,9,011902,Elgin ISD,Bastrop,D,66,6221,https://txschools.net/district/elgin-isd-011902
21,1019,9,102901,Karnack ISD,Harrison,D,66,121,https://txschools.net/district/karnack-isd-102901
21,1019,9,137901,Kingsville ISD,Kleberg,D,66,2341,https://txschools.net/district/kingsville-isd-137901
21,1019,9,019908,Liberty-Eylau ISD,Bowie,D,66,1784,https://txschools.net/district/liberty-eylau-isd-019908
