# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-declines
# rows: 1162 (excluding this header and the column row)
# ranking: Texas school districts with the largest per-student spending declines since 2018
# population: 1,162 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 22 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2018,2025,enrollment,url
1,1162,0,230905,Harmony ISD,Upshur,B,-79893,102675,22782,855,https://txschools.net/district/harmony-isd-230905
2,1162,0,180903,Adrian ISD,Oldham,A,-39768,63862,24094,136,https://txschools.net/district/adrian-isd-180903
3,1162,0,033901,Groom ISD,Carson,B,-31313,61005,29692,112,https://txschools.net/district/groom-isd-033901
4,1162,0,196901,Austwell-Tivoli ISD,Refugio,C,-31125,63370,32245,122,https://txschools.net/district/austwell-tivoli-isd-196901
5,1162,0,091907,Tioga ISD,Grayson,A,-23710,38576,14866,610,https://txschools.net/district/tioga-isd-091907
6,1162,0,018906,Iredell ISD,Bosque,A,-22336,44114,21778,137,https://txschools.net/district/iredell-isd-018906
7,1162,0,013903,Pettus ISD,Bee,B,-22322,49739,27417,378,https://txschools.net/district/pettus-isd-013903
8,1162,0,026902,Somerville ISD,Burleson,C,-14850,33925,19075,527,https://txschools.net/district/somerville-isd-026902
9,1162,0,023902,Silverton ISD,Briscoe,A,-14241,34354,20113,194,https://txschools.net/district/silverton-isd-023902
10,1162,0,177901,Roscoe Collegiate ISD,Nolan,F,-13338,14829,1491,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
