# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-highest
# rows: 1180 (excluding this header and the column row)
# ranking: Texas school districts with the highest per-student spending in 2025-26
# population: 1,180 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 4 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1180,0,022903,San Vicente ISD,Brewster,B,247699,14,https://txschools.net/district/san-vicente-isd-022903
2,1180,0,058909,Sands CISD,Dawson,A,203774,225,https://txschools.net/district/sands-cisd-058909
3,1180,0,248902,Wink-Loving ISD,Winkler,B,173630,434,https://txschools.net/district/wink-loving-isd-248902
4,1180,0,186901,Buena Vista ISD,Pecos,D,173298,235,https://txschools.net/district/buena-vista-isd-186901
5,1180,0,231902,Rankin ISD,Upton,A,148321,300,https://txschools.net/district/rankin-isd-231902
6,1180,0,138904,Benjamin ISD,Knox,B,139571,96,https://txschools.net/district/benjamin-isd-138904
7,1180,0,055901,Culberson County-Allamoore ISD,Culberson,B,139294,377,https://txschools.net/district/culberson-county-allamoore-isd-055901
8,1180,0,195901,Pecos-Barstow-Toyah ISD,Reeves,C,124880,2945,https://txschools.net/district/pecos-barstow-toyah-isd-195901
9,1180,0,231901,McCamey ISD,Upton,C,105361,469,https://txschools.net/district/mccamey-isd-231901
10,1180,0,087901,Glasscock County ISD,Glasscock,A,92322,290,https://txschools.net/district/glasscock-county-isd-087901
11,1180,0,252902,Newcastle ISD,Young,B,85711,231,https://txschools.net/district/newcastle-isd-252902
12,1180,0,196902,Woodsboro ISD,Refugio,C,80356,383,https://txschools.net/district/woodsboro-isd-196902
13,1180,0,074912,Trenton ISD,Fannin,B,78741,730,https://txschools.net/district/trenton-isd-074912
14,1180,0,123913,Sabine Pass ISD,Jefferson,B,77262,373,https://txschools.net/district/sabine-pass-isd-123913
15,1180,0,115902,Sierra Blanca ISD,Hudspeth,C,74327,97,https://txschools.net/district/sierra-blanca-isd-115902
16,1180,0,016901,Johnson City ISD,Blanco,B,74037,677,https://txschools.net/district/johnson-city-isd-016901
17,1180,0,014902,Bartlett ISD,Bell,C,72366,399,https://txschools.net/district/bartlett-isd-014902
18,1180,0,066005,Ramirez CSD,Duval,D,70724,24,https://txschools.net/district/ramirez-csd-066005
19,1180,0,224901,Throckmorton Collegiate ISD,Throckmorton,B,69076,145,https://txschools.net/district/throckmorton-collegiate-isd-224901
20,1180,0,246905,Granger ISD,Williamson,C,68882,573,https://txschools.net/district/granger-isd-246905
21,1180,0,249908,Slidell ISD,Wise,B,66310,515,https://txschools.net/district/slidell-isd-249908
22,1180,0,162904,McMullen County ISD,McMullen,A,65325,286,https://txschools.net/district/mcmullen-county-isd-162904
23,1180,0,195902,Balmorhea ISD,Reeves,B,63551,149,https://txschools.net/district/balmorhea-isd-195902
24,1180,0,084903,High Island ISD,Galveston,B,62507,122,https://txschools.net/district/high-island-isd-084903
25,1180,0,098901,Gruver ISD,Hansford,A,56957,419,https://txschools.net/district/gruver-isd-098901
26,1180,0,251902,Plains ISD,Yoakum,C,55332,413,https://txschools.net/district/plains-isd-251902
27,1180,0,122902,Valentine ISD,Jeff Davis,B,54716,28,https://txschools.net/district/valentine-isd-122902
28,1180,0,119902,Jacksboro ISD,Jack,B,54466,1032,https://txschools.net/district/jacksboro-isd-119902
29,1180,0,240904,Webb CISD,Webb,C,54240,206,https://txschools.net/district/webb-cisd-240904
30,1180,0,118902,Irion County ISD,Irion,A,53679,307,https://txschools.net/district/irion-county-isd-118902
31,1180,0,246914,Coupland ISD,Williamson,C,51068,315,https://txschools.net/district/coupland-isd-246914
32,1180,0,178908,Port Aransas ISD,Nueces,B,50897,577,https://txschools.net/district/port-aransas-isd-178908
33,1180,0,203901,San Augustine ISD,San Augustine,C,50790,585,https://txschools.net/district/san-augustine-isd-203901
34,1180,0,160904,Rochelle ISD,McCulloch,A,50483,166,https://txschools.net/district/rochelle-isd-160904
35,1180,0,043903,Celina ISD,Collin,B,50144,6337,https://txschools.net/district/celina-isd-043903
36,1180,0,069901,Rocksprings ISD,Edwards,B,50114,201,https://txschools.net/district/rocksprings-isd-069901
37,1180,0,192901,Reagan County ISD,Reagan,C,49607,840,https://txschools.net/district/reagan-county-isd-192901
38,1180,0,208903,Ira ISD,Scurry,A,49289,307,https://txschools.net/district/ira-isd-208903
39,1180,0,018908,Cranfills Gap ISD,Bosque,B,48268,116,https://txschools.net/district/cranfills-gap-isd-018908
40,1180,0,014908,Salado ISD,Bell,B,48116,2582,https://txschools.net/district/salado-isd-014908
41,1180,0,074909,Leonard ISD,Fannin,B,47949,840,https://txschools.net/district/leonard-isd-074909
42,1180,0,239903,Burton ISD,Washington,A,47889,650,https://txschools.net/district/burton-isd-239903
43,1180,0,205902,Gregory-Portland ISD,San Patricio,B,47783,5116,https://txschools.net/district/gregory-portland-isd-205902
44,1180,0,246912,Thrall ISD,Williamson,A,47729,916,https://txschools.net/district/thrall-isd-246912
45,1180,0,086024,Doss Consolidated CSD,Gillespie,B,47433,18,https://txschools.net/district/doss-consolidated-csd-086024
46,1180,0,101881,Up Excellence Academy,Harris,F,47061,116,https://txschools.net/district/up-excellence-academy-101881
47,1180,0,104907,Paint Creek ISD,Haskell,A,46734,116,https://txschools.net/district/paint-creek-isd-104907
48,1180,0,177903,Blackwell CISD,Nolan,A,46320,171,https://txschools.net/district/blackwell-cisd-177903
49,1180,0,246902,Florence ISD,Williamson,B,46193,1125,https://txschools.net/district/florence-isd-246902
50,1180,0,165902,Greenwood ISD,Midland,C,46017,3621,https://txschools.net/district/greenwood-isd-165902
51,1180,0,132902,Jayton-Girard ISD,Kent,A,45879,187,https://txschools.net/district/jayton-girard-isd-132902
52,1180,0,245904,San Perlita ISD,Willacy,B,45573,174,https://txschools.net/district/san-perlita-isd-245904
53,1180,0,152902,New Deal ISD,Lubbock,B,45288,697,https://txschools.net/district/new-deal-isd-152902
54,1180,0,095902,Cotton Center ISD,Hale,A,45205,97,https://txschools.net/district/cotton-center-isd-095902
55,1180,0,089903,Nixon-Smiley CISD,Gonzales,C,45037,994,https://txschools.net/district/nixon-smiley-cisd-089903
56,1180,0,222901,Terrell County ISD,Terrell,B,44920,108,https://txschools.net/district/terrell-county-isd-222901
57,1180,0,246907,Jarrell ISD,Williamson,C,44885,4514,https://txschools.net/district/jarrell-isd-246907
58,1180,0,128901,Karnes City ISD,Karnes,B,44558,928,https://txschools.net/district/karnes-city-isd-128901
59,1180,0,148905,Darrouzett ISD,Lipscomb,D,44524,97,https://txschools.net/district/darrouzett-isd-148905
60,1180,0,142901,Cotulla ISD,La Salle,C,44282,1130,https://txschools.net/district/cotulla-isd-142901
61,1180,0,242905,Kelton ISD,Wheeler,B,44034,129,https://txschools.net/district/kelton-isd-242905
62,1180,0,156905,Grady ISD,Martin,A,43065,242,https://txschools.net/district/grady-isd-156905
63,1180,0,145902,Centerville ISD,Leon,C,43042,633,https://txschools.net/district/centerville-isd-145902
64,1180,0,212909,Chapel Hill ISD,Smith,C,42996,3186,https://txschools.net/district/chapel-hill-isd-212909
65,1180,0,186903,Iraan-Sheffield Collegiate ISD,Pecos,C,42053,514,https://txschools.net/district/iraan-sheffield-collegiate-isd-186903
66,1180,0,188903,Highland Park ISD,Potter,B,41528,723,https://txschools.net/district/highland-park-isd-188903
67,1180,0,109903,Covington ISD,Hill,C,41245,351,https://txschools.net/district/covington-isd-109903
68,1180,0,053001,Crockett County Consolidated CSD,Crockett,B,41047,615,https://txschools.net/district/crockett-county-consolidated-csd-053001
69,1180,0,109908,Malone ISD,Hill,F,40595,64,https://txschools.net/district/malone-isd-109908
70,1180,0,203902,Broaddus ISD,San Augustine,A,40257,380,https://txschools.net/district/broaddus-isd-203902
71,1180,0,104901,Haskell CISD,Haskell,B,40059,545,https://txschools.net/district/haskell-cisd-104901
72,1180,0,062902,Nordheim ISD,Dewitt,B,39888,111,https://txschools.net/district/nordheim-isd-062902
73,1180,0,052901,Crane ISD,Crane,D,39861,1228,https://txschools.net/district/crane-isd-052901
74,1180,0,061908,Sanger ISD,Denton,B,39465,2951,https://txschools.net/district/sanger-isd-061908
75,1180,0,066901,Benavides ISD,Duval,D,39384,352,https://txschools.net/district/benavides-isd-066901
76,1180,0,237905,Royal ISD,Waller,D,39140,3086,https://txschools.net/district/royal-isd-237905
77,1180,0,061907,Aubrey ISD,Denton,C,39098,4885,https://txschools.net/district/aubrey-isd-061907
78,1180,0,022902,Marathon ISD,Brewster,B,38844,46,https://txschools.net/district/marathon-isd-022902
79,1180,0,073903,Marlin ISD,Falls,D,38323,796,https://txschools.net/district/marlin-isd-073903
80,1180,0,094903,Navarro ISD,Guadalupe,B,38247,3039,https://txschools.net/district/navarro-isd-094903
81,1180,0,073901,Chilton ISD,Falls,A,38132,574,https://txschools.net/district/chilton-isd-073901
82,1180,0,089905,Waelder ISD,Gonzales,B,38080,588,https://txschools.net/district/waelder-isd-089905
83,1180,0,170802,Thrive Center for Success,Montgomery,B,37634,177,https://txschools.net/district/thrive-center-for-success-170802
84,1180,0,199902,Royse City ISD,Rockwall,C,37302,10141,https://txschools.net/district/royse-city-isd-199902
85,1180,0,070915,Maypearl ISD,Ellis,C,36965,1217,https://txschools.net/district/maypearl-isd-070915
86,1180,0,242906,Fort Elliott CISD,Wheeler,B,36750,133,https://txschools.net/district/fort-elliott-cisd-242906
87,1180,0,128903,Runge ISD,Karnes,C,36677,172,https://txschools.net/district/runge-isd-128903
88,1180,0,112910,Sulphur Bluff ISD,Hopkins,B,36446,195,https://txschools.net/district/sulphur-bluff-isd-112910
