# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-lowest
# rows: 1018 (excluding this header and the column row)
# ranking: Texas school districts with the lowest per-student spending in 2025-26
# population: 1,018 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 1 reported no figure for this measure and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1018,0,177901,Roscoe Collegiate ISD,Nolan,F,1491,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
2,1018,0,227506,University of Texas at Austin HS,Travis,C,6060,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
3,1018,0,122901,Ft Davis ISD,Jeff Davis,C,10117,818,https://txschools.net/district/ft-davis-isd-122901
4,1018,0,102904,Hallsville ISD,Harrison,C,11409,26808,https://txschools.net/district/hallsville-isd-102904
5,1018,0,019914,Leary ISD,Bowie,A,11886,106,https://txschools.net/district/leary-isd-019914
6,1018,0,100907,Lumberton ISD,Hardin,B,11891,4039,https://txschools.net/district/lumberton-isd-100907
7,1018,0,126908,Venus ISD,Johnson,C,11977,2191,https://txschools.net/district/venus-isd-126908
8,1018,0,019910,Malta ISD,Bowie,B,12115,208,https://txschools.net/district/malta-isd-019910
9,1018,0,198906,Mumford ISD,Robertson,A,12223,600,https://txschools.net/district/mumford-isd-198906
10,1018,0,191901,Canyon ISD,Randall,B,12646,11527,https://txschools.net/district/canyon-isd-191901
11,1018,0,153905,New Home ISD,Lynn,A,12656,685,https://txschools.net/district/new-home-isd-153905
12,1018,1,247901,Floresville ISD,Wilson,B,12706,3893,https://txschools.net/district/floresville-isd-247901
12,1018,1,236902,Huntsville ISD,Walker,C,12706,11504,https://txschools.net/district/huntsville-isd-236902
14,1018,0,071909,Socorro ISD,El Paso,B,12991,45850,https://txschools.net/district/socorro-isd-071909
15,1018,0,008902,Sealy ISD,Austin,C,13100,3014,https://txschools.net/district/sealy-isd-008902
