# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/reading-approaches-grade-level-lowest
# rows: 1019 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Reading — Approaches in 2025-26
# population: 1,019 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1019,0,022004,Terlingua CSD,Brewster,D,42,140,https://txschools.net/district/terlingua-csd-022004
2,1019,0,198902,Calvert ISD,Robertson,D,49,143,https://txschools.net/district/calvert-isd-198902
3,1019,2,238904,Grandfalls-Royalty ISD,Ward,C,53,121,https://txschools.net/district/grandfalls-royalty-isd-238904
3,1019,2,070909,Milford ISD,Ellis,C,53,277,https://txschools.net/district/milford-isd-070909
3,1019,2,107907,Trinidad ISD,Henderson,B,53,175,https://txschools.net/district/trinidad-isd-107907
6,1019,3,146901,Cleveland ISD,Liberty,D,54,12648,https://txschools.net/district/cleveland-isd-146901
6,1019,3,144903,Dime Box ISD,Lee,B,54,169,https://txschools.net/district/dime-box-isd-144903
6,1019,3,073903,Marlin ISD,Falls,D,54,796,https://txschools.net/district/marlin-isd-073903
6,1019,3,028906,Prairie Lea ISD,Caldwell,F,54,276,https://txschools.net/district/prairie-lea-isd-028906
10,1019,0,018903,Morgan ISD,Bosque,C,55,138,https://txschools.net/district/morgan-isd-018903
11,1019,4,113901,Crockett ISD,Houston,D,56,1098,https://txschools.net/district/crockett-isd-113901
11,1019,4,227910,Del Valle ISD,Travis,D,56,11766,https://txschools.net/district/del-valle-isd-227910
11,1019,4,015905,Edgewood ISD,Bexar,D,56,7670,https://txschools.net/district/edgewood-isd-015905
11,1019,4,220910,Lake Worth ISD,Tarrant,D,56,3165,https://txschools.net/district/lake-worth-isd-220910
11,1019,4,019908,Liberty-Eylau ISD,Bowie,D,56,1784,https://txschools.net/district/liberty-eylau-isd-019908
16,1019,6,161921,Connally ISD,McLennan,D,57,2031,https://txschools.net/district/connally-isd-161921
16,1019,6,060914,Fannindel ISD,Delta,D,57,152,https://txschools.net/district/fannindel-isd-060914
16,1019,6,198905,Hearne ISD,Robertson,D,57,719,https://txschools.net/district/hearne-isd-198905
16,1019,6,227907,Manor ISD,Travis,D,57,9826,https://txschools.net/district/manor-isd-227907
16,1019,6,189902,Presidio ISD,Presidio,C,57,1063,https://txschools.net/district/presidio-isd-189902
16,1019,6,177901,Roscoe Collegiate ISD,Nolan,F,57,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
16,1019,6,161914,Waco ISD,McLennan,D,57,12892,https://txschools.net/district/waco-isd-161914
