# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/reading-masters-grade-level-highest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the highest Reading — Masters in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,0,174801,Stephen F Austin State University Charter School,Nacogdoches,A,70,254,https://txschools.net/district/stephen-f-austin-state-university-charter-school-174801
2,1184,1,146903,Devers ISD,Liberty,A,68,198,https://txschools.net/district/devers-isd-146903
2,1184,1,246803,The Texas Girls School,Williamson,A,68,37,https://txschools.net/district/the-texas-girls-school-246803
4,1184,0,182906,Palo Pinto ISD,Palo Pinto,A,65,92,https://txschools.net/district/palo-pinto-isd-182906
5,1184,0,057911,Highland Park ISD,Dallas,A,61,6215,https://txschools.net/district/highland-park-isd-057911
6,1184,0,220919,Carroll ISD,Tarrant,A,60,7866,https://txschools.net/district/carroll-isd-220919
7,1184,1,015834,Basis Texas,Bexar,A,59,9480,https://txschools.net/district/basis-texas-015834
7,1184,1,043801,Imagine International Academy of North Texas,Collin,A,59,1438,https://txschools.net/district/imagine-international-academy-of-north-texas-043801
9,1184,0,035903,Nazareth ISD,Castro,A,58,239,https://txschools.net/district/nazareth-isd-035903
10,1184,0,198906,Mumford ISD,Robertson,A,57,600,https://txschools.net/district/mumford-isd-198906
11,1184,1,156905,Grady ISD,Martin,A,56,242,https://txschools.net/district/grady-isd-156905
11,1184,1,246801,Meridian World School LLC,Williamson,A,56,1757,https://txschools.net/district/meridian-world-school-llc-246801
13,1184,0,220810,Westlake Academy Charter School,Tarrant,A,55,908,https://txschools.net/district/westlake-academy-charter-school-220810
14,1184,3,227909,Eanes ISD,Travis,A,54,7524,https://txschools.net/district/eanes-isd-227909
14,1184,3,058905,Klondike ISD,Dawson,A,54,269,https://txschools.net/district/klondike-isd-058905
14,1184,3,043919,Lovejoy ISD,Collin,A,54,3841,https://txschools.net/district/lovejoy-isd-043919
14,1184,3,019911,Red Lick ISD,Bowie,A,54,515,https://txschools.net/district/red-lick-isd-019911
18,1184,1,227814,Chaparral Star Academy,Travis,A,53,385,https://txschools.net/district/chaparral-star-academy-227814
18,1184,1,015836,Eleanor Kolitz Hebrew Language Academy,Bexar,B,53,464,https://txschools.net/district/eleanor-kolitz-hebrew-language-academy-015836
20,1184,0,057922,Coppell ISD,Dallas,A,52,13047,https://txschools.net/district/coppell-isd-057922
21,1184,1,128904,Falls City ISD,Karnes,A,49,452,https://txschools.net/district/falls-city-isd-128904
21,1184,1,043905,Frisco ISD,Collin,A,49,62627,https://txschools.net/district/frisco-isd-043905
23,1184,1,005901,Archer City ISD,Archer,A,48,486,https://txschools.net/district/archer-city-isd-005901
23,1184,1,133902,Hunt ISD,Kerr,A,48,211,https://txschools.net/district/hunt-isd-133902
25,1184,0,220809,Fort Worth Academy of Fine Arts,Tarrant,B,47,668,https://txschools.net/district/fort-worth-academy-of-fine-arts-220809
26,1184,0,043901,Allen ISD,Collin,A,46,20092,https://txschools.net/district/allen-isd-043901
27,1184,2,101862,Harmony Public Schools - Houston West,Harris,A,45,6906,https://txschools.net/district/harmony-public-schools-houston-west-101862
27,1184,2,043802,Imagine Lone Star International Academy,Collin,A,45,269,https://txschools.net/district/imagine-lone-star-international-academy-043802
27,1184,2,014804,Orenda Charter School,Bell,A,45,1936,https://txschools.net/district/orenda-charter-school-014804
30,1184,4,184907,Aledo ISD,Parker,A,44,8590,https://txschools.net/district/aledo-isd-184907
30,1184,4,061910,Argyle ISD,Denton,A,44,6551,https://txschools.net/district/argyle-isd-061910
30,1184,4,161901,Crawford ISD,McLennan,B,44,585,https://txschools.net/district/crawford-isd-161901
30,1184,4,235904,Nursery ISD,Victoria,B,44,179,https://txschools.net/district/nursery-isd-235904
30,1184,4,057919,Sunnyvale ISD,Dallas,A,44,2313,https://txschools.net/district/sunnyvale-isd-057919
35,1184,4,084911,Friendswood ISD,Galveston,A,43,6116,https://txschools.net/district/friendswood-isd-084911
35,1184,4,227913,Lake Travis ISD,Travis,A,43,10748,https://txschools.net/district/lake-travis-isd-227913
35,1184,4,101921,Tomball ISD,Harris,A,43,23202,https://txschools.net/district/tomball-isd-101921
35,1184,4,226906,Wall ISD,Tom Green,B,43,1306,https://txschools.net/district/wall-isd-226906
35,1184,4,043914,Wylie ISD,Collin,A,43,19400,https://txschools.net/district/wylie-isd-043914
40,1184,4,075901,Flatonia ISD,Fayette,A,42,675,https://txschools.net/district/flatonia-isd-075901
40,1184,4,220906,Grapevine-Colleyville ISD,Tarrant,A,42,13343,https://txschools.net/district/grapevine-colleyville-isd-220906
40,1184,4,043912,Prosper ISD,Collin,A,42,33583,https://txschools.net/district/prosper-isd-043912
40,1184,4,031916,South Texas ISD,Cameron,A,42,4741,https://txschools.net/district/south-texas-isd-031916
40,1184,4,061805,Trivium Academy,Denton,B,42,503,https://txschools.net/district/trivium-academy-061805
45,1184,6,084804,Ambassadors Preparatory Academy,Galveston,A,41,140,https://txschools.net/district/ambassadors-preparatory-academy-084804
45,1184,6,036902,Barbers Hill ISD,Chambers,A,41,8069,https://txschools.net/district/barbers-hill-isd-036902
45,1184,6,130901,Boerne ISD,Kendall,A,41,11132,https://txschools.net/district/boerne-isd-130901
45,1184,6,019910,Malta ISD,Bowie,B,41,208,https://txschools.net/district/malta-isd-019910
45,1184,6,043908,Melissa ISD,Collin,A,41,8560,https://txschools.net/district/melissa-isd-043908
45,1184,6,161903,Midway ISD,McLennan,A,41,8704,https://txschools.net/district/midway-isd-161903
45,1184,6,020908,Pearland ISD,Brazoria,A,41,20555,https://txschools.net/district/pearland-isd-020908
52,1184,8,105904,Dripping Springs ISD,Hays,B,40,8793,https://txschools.net/district/dripping-springs-isd-105904
52,1184,8,101878,Houston Classical Charter School,Harris,A,40,430,https://txschools.net/district/houston-classical-charter-school-101878
52,1184,8,101914,Katy ISD,Harris,B,40,95136,https://txschools.net/district/katy-isd-101914
52,1184,8,061804,Leadership Prep School,Denton,B,40,1894,https://txschools.net/district/leadership-prep-school-061804
52,1184,8,169908,Montague ISD,Montague,A,40,170,https://txschools.net/district/montague-isd-169908
52,1184,8,015906,Randolph Field ISD,Bexar,A,40,1402,https://txschools.net/district/randolph-field-isd-015906
52,1184,8,152802,Rise Academy,Lubbock,A,40,287,https://txschools.net/district/rise-academy-152802
52,1184,8,246909,Round Rock ISD,Williamson,B,40,45865,https://txschools.net/district/round-rock-isd-246909
52,1184,8,212804,UT Tyler University Academy,Smith,A,40,1224,https://txschools.net/district/ut-tyler-university-academy-212804
61,1184,7,184909,Brock ISD,Parker,A,39,2181,https://txschools.net/district/brock-isd-184909
61,1184,7,198903,Franklin ISD,Robertson,A,39,1438,https://txschools.net/district/franklin-isd-198903
61,1184,7,149901,George West ISD,Live Oak,A,39,1036,https://txschools.net/district/george-west-isd-149901
61,1184,7,087901,Glasscock County ISD,Glasscock,A,39,290,https://txschools.net/district/glasscock-county-isd-087901
61,1184,7,098901,Gruver ISD,Hansford,A,39,419,https://txschools.net/district/gruver-isd-098901
61,1184,7,221911,Jim Ned CISD,Taylor,A,39,1625,https://txschools.net/district/jim-ned-cisd-221911
61,1184,7,178906,London ISD,Nueces,A,39,1922,https://txschools.net/district/london-isd-178906
61,1184,7,236802,Sam Houston State University Charter School,Walker,B,39,343,https://txschools.net/district/sam-houston-state-university-charter-school-236802
69,1184,5,101849,Accelerated Intermediate Academy,Harris,A,38,166,https://txschools.net/district/accelerated-intermediate-academy-101849
69,1184,5,075906,Fayetteville ISD,Fayette,A,38,308,https://txschools.net/district/fayetteville-isd-075906
69,1184,5,015914,Ft Sam Houston ISD,Bexar,A,38,1543,https://txschools.net/district/ft-sam-houston-isd-015914
69,1184,5,200902,Miles ISD,Runnels,A,38,497,https://txschools.net/district/miles-isd-200902
69,1184,5,137904,Santa Gertrudis ISD,Kleberg,A,38,813,https://txschools.net/district/santa-gertrudis-isd-137904
69,1184,5,015827,School of Science and Technology,Bexar,B,38,5855,https://txschools.net/district/school-of-science-and-technology-015827
75,1184,10,072908,Huckabay ISD,Erath,A,37,345,https://txschools.net/district/huckabay-isd-072908
75,1184,10,246913,Leander ISD,Williamson,B,37,41854,https://txschools.net/district/leander-isd-246913
75,1184,10,212903,Lindale ISD,Smith,A,37,4613,https://txschools.net/district/lindale-isd-212903
75,1184,10,157901,Mason ISD,Mason,A,37,675,https://txschools.net/district/mason-isd-157901
