# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/reading-meets-grade-level-highest
# rows: 1019 (excluding this header and the column row)
# ranking: Texas school districts with the highest Reading — Meets in 2025-26
# population: 1,019 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1019,0,182906,Palo Pinto ISD,Palo Pinto,A,93,92,https://txschools.net/district/palo-pinto-isd-182906
2,1019,2,057911,Highland Park ISD,Dallas,A,92,6215,https://txschools.net/district/highland-park-isd-057911
2,1019,2,198906,Mumford ISD,Robertson,A,92,600,https://txschools.net/district/mumford-isd-198906
2,1019,2,035903,Nazareth ISD,Castro,A,92,239,https://txschools.net/district/nazareth-isd-035903
5,1019,1,220919,Carroll ISD,Tarrant,A,90,7866,https://txschools.net/district/carroll-isd-220919
5,1019,1,156905,Grady ISD,Martin,A,90,242,https://txschools.net/district/grady-isd-156905
7,1019,0,043919,Lovejoy ISD,Collin,A,88,3841,https://txschools.net/district/lovejoy-isd-043919
8,1019,2,146903,Devers ISD,Liberty,A,87,198,https://txschools.net/district/devers-isd-146903
8,1019,2,227909,Eanes ISD,Travis,A,87,7524,https://txschools.net/district/eanes-isd-227909
8,1019,2,058905,Klondike ISD,Dawson,A,87,269,https://txschools.net/district/klondike-isd-058905
11,1019,0,019911,Red Lick ISD,Bowie,A,85,515,https://txschools.net/district/red-lick-isd-019911
12,1019,1,128904,Falls City ISD,Karnes,A,84,452,https://txschools.net/district/falls-city-isd-128904
12,1019,1,098901,Gruver ISD,Hansford,A,84,419,https://txschools.net/district/gruver-isd-098901
14,1019,1,057922,Coppell ISD,Dallas,A,83,13047,https://txschools.net/district/coppell-isd-057922
14,1019,1,152504,Texas Tech University K-12,Lubbock,B,83,829,https://txschools.net/district/texas-tech-university-k-12-152504
16,1019,5,163902,D'Hanis ISD,Medina,A,82,297,https://txschools.net/district/d-hanis-isd-163902
16,1019,5,162904,McMullen County ISD,McMullen,A,82,286,https://txschools.net/district/mcmullen-county-isd-162904
16,1019,5,015906,Randolph Field ISD,Bexar,A,82,1402,https://txschools.net/district/randolph-field-isd-015906
16,1019,5,031916,South Texas ISD,Cameron,A,82,4741,https://txschools.net/district/south-texas-isd-031916
16,1019,5,211901,Texhoma ISD,Sherman,A,82,96,https://txschools.net/district/texhoma-isd-211901
16,1019,5,180902,Vega ISD,Oldham,A,82,354,https://txschools.net/district/vega-isd-180902
22,1019,1,043905,Frisco ISD,Collin,A,81,62627,https://txschools.net/district/frisco-isd-043905
22,1019,1,132902,Jayton-Girard ISD,Kent,A,81,187,https://txschools.net/district/jayton-girard-isd-132902
24,1019,7,184907,Aledo ISD,Parker,A,80,8590,https://txschools.net/district/aledo-isd-184907
24,1019,7,061910,Argyle ISD,Denton,A,80,6551,https://txschools.net/district/argyle-isd-061910
24,1019,7,084911,Friendswood ISD,Galveston,A,80,6116,https://txschools.net/district/friendswood-isd-084911
24,1019,7,133902,Hunt ISD,Kerr,A,80,211,https://txschools.net/district/hunt-isd-133902
24,1019,7,112909,Saltillo ISD,Hopkins,A,80,236,https://txschools.net/district/saltillo-isd-112909
24,1019,7,137904,Santa Gertrudis ISD,Kleberg,A,80,813,https://txschools.net/district/santa-gertrudis-isd-137904
24,1019,7,056902,Texline ISD,Dallam,A,80,224,https://txschools.net/district/texline-isd-056902
24,1019,7,110908,Whitharral ISD,Hockley,A,80,223,https://txschools.net/district/whitharral-isd-110908
32,1019,8,005901,Archer City ISD,Archer,A,79,486,https://txschools.net/district/archer-city-isd-005901
32,1019,8,177903,Blackwell CISD,Nolan,A,79,171,https://txschools.net/district/blackwell-cisd-177903
32,1019,8,047902,De Leon ISD,Comanche,A,79,616,https://txschools.net/district/de-leon-isd-047902
32,1019,8,075901,Flatonia ISD,Fayette,A,79,675,https://txschools.net/district/flatonia-isd-075901
32,1019,8,087901,Glasscock County ISD,Glasscock,A,79,290,https://txschools.net/district/glasscock-county-isd-087901
32,1019,8,043912,Prosper ISD,Collin,A,79,33583,https://txschools.net/district/prosper-isd-043912
32,1019,8,057919,Sunnyvale ISD,Dallas,A,79,2313,https://txschools.net/district/sunnyvale-isd-057919
32,1019,8,226906,Wall ISD,Tom Green,B,79,1306,https://txschools.net/district/wall-isd-226906
32,1019,8,005904,Windthorst ISD,Archer,A,79,491,https://txschools.net/district/windthorst-isd-005904
41,1019,8,036902,Barbers Hill ISD,Chambers,A,78,8069,https://txschools.net/district/barbers-hill-isd-036902
41,1019,8,161901,Crawford ISD,McLennan,B,78,585,https://txschools.net/district/crawford-isd-161901
41,1019,8,105904,Dripping Springs ISD,Hays,B,78,8793,https://txschools.net/district/dripping-springs-isd-105904
41,1019,8,198903,Franklin ISD,Robertson,A,78,1438,https://txschools.net/district/franklin-isd-198903
41,1019,8,015914,Ft Sam Houston ISD,Bexar,A,78,1543,https://txschools.net/district/ft-sam-houston-isd-015914
41,1019,8,149901,George West ISD,Live Oak,A,78,1036,https://txschools.net/district/george-west-isd-149901
41,1019,8,221911,Jim Ned CISD,Taylor,A,78,1625,https://txschools.net/district/jim-ned-cisd-221911
41,1019,8,227913,Lake Travis ISD,Travis,A,78,10748,https://txschools.net/district/lake-travis-isd-227913
41,1019,8,169908,Montague ISD,Montague,A,78,170,https://txschools.net/district/montague-isd-169908
50,1019,9,043901,Allen ISD,Collin,A,77,20092,https://txschools.net/district/allen-isd-043901
50,1019,9,130901,Boerne ISD,Kendall,A,77,11132,https://txschools.net/district/boerne-isd-130901
50,1019,9,184909,Brock ISD,Parker,A,77,2181,https://txschools.net/district/brock-isd-184909
