# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/reading-meets-grade-level-lowest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Reading — Meets in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,0,015845,Celebrate Dyslexia Schools,Bexar,F,6,100,https://txschools.net/district/celebrate-dyslexia-schools-015845
2,1184,0,057809,Nova Academy,Dallas,F,8,67,https://txschools.net/district/nova-academy-057809
3,1184,0,014801,Richard Milburn Alter High School (Killeen),Bell,C,11,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
4,1184,1,109908,Malone ISD,Hill,F,14,64,https://txschools.net/district/malone-isd-109908
4,1184,1,057804,Texans Can Academies,Dallas,B,14,2880,https://txschools.net/district/texans-can-academies-057804
6,1184,1,101868,The Pro-Vision Academy,Harris,B,15,239,https://txschools.net/district/the-pro-vision-academy-101868
6,1184,1,152803,Triumph Public High Schools-Lubbock,Lubbock,C,15,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
8,1184,0,101881,Up Excellence Academy,Harris,F,17,116,https://txschools.net/district/up-excellence-academy-101881
9,1184,1,198902,Calvert ISD,Robertson,D,18,143,https://txschools.net/district/calvert-isd-198902
9,1184,1,071810,El Paso Leadership Academy,El Paso,F,18,665,https://txschools.net/district/el-paso-leadership-academy-071810
11,1184,1,101804,George I Sanchez Charter,Harris,C,19,941,https://txschools.net/district/george-i-sanchez-charter-101804
11,1184,1,028906,Prairie Lea ISD,Caldwell,F,19,276,https://txschools.net/district/prairie-lea-isd-028906
13,1184,0,057828,Winfree Academy Charter Schools,Dallas,B,20,1051,https://txschools.net/district/winfree-academy-charter-schools-057828
14,1184,1,057834,Evolution Academy Charter School,Dallas,A,22,639,https://txschools.net/district/evolution-academy-charter-school-057834
14,1184,1,022004,Terlingua CSD,Brewster,D,22,140,https://txschools.net/district/terlingua-csd-022004
16,1184,1,213801,Brazos River Charter School,Somervell,C,23,60,https://txschools.net/district/brazos-river-charter-school-213801
16,1184,1,107907,Trinidad ISD,Henderson,B,23,175,https://txschools.net/district/trinidad-isd-107907
18,1184,2,070801,Faith Family Academy,Ellis,C,24,2883,https://txschools.net/district/faith-family-academy-070801
18,1184,2,238904,Grandfalls-Royalty ISD,Ward,C,24,121,https://txschools.net/district/grandfalls-royalty-isd-238904
18,1184,2,015814,Positive Solutions Charter School,Bexar,B,24,91,https://txschools.net/district/positive-solutions-charter-school-015814
21,1184,0,018903,Morgan ISD,Bosque,C,25,138,https://txschools.net/district/morgan-isd-018903
22,1184,4,015844,Essence Preparatory Charter School,Bexar,F,26,438,https://txschools.net/district/essence-preparatory-charter-school-015844
22,1184,4,101821,Houston Heights High School,Harris,A,26,152,https://txschools.net/district/houston-heights-high-school-101821
22,1184,4,070909,Milford ISD,Ellis,C,26,277,https://txschools.net/district/milford-isd-070909
22,1184,4,240801,Triumph Public High Schools Central Texas,Webb,B,26,362,https://txschools.net/district/triumph-public-high-schools-central-texas-240801
22,1184,4,108804,Triumph Public High Schools-Rio Grande Valley,Hidalgo,B,26,477,https://txschools.net/district/triumph-public-high-schools-rio-grande-valley-108804
27,1184,2,194904,Clarksville ISD,Red River,D,27,504,https://txschools.net/district/clarksville-isd-194904
27,1184,2,101842,Comquest Academy,Harris,B,27,35,https://txschools.net/district/comquest-academy-101842
27,1184,2,114801,Pathway Academy,Howard,F,27,130,https://txschools.net/district/pathway-academy-114801
30,1184,3,101875,Bloom Academy Charter School,Harris,F,28,364,https://txschools.net/district/bloom-academy-charter-school-101875
30,1184,3,235901,Bloomington ISD,Victoria,D,28,705,https://txschools.net/district/bloomington-isd-235901
30,1184,3,019913,Hubbard ISD,Bowie,F,28,54,https://txschools.net/district/hubbard-isd-019913
30,1184,3,054903,Ralls ISD,Crosby,C,28,318,https://txschools.net/district/ralls-isd-054903
34,1184,3,140901,Amherst ISD,Lamb,B,29,102,https://txschools.net/district/amherst-isd-140901
34,1184,3,161921,Connally ISD,McLennan,D,29,2031,https://txschools.net/district/connally-isd-161921
34,1184,3,101872,Etoile Academy Charter School,Harris,F,29,1064,https://txschools.net/district/etoile-academy-charter-school-101872
34,1184,3,083901,Seagraves ISD,Gaines,B,29,523,https://txschools.net/district/seagraves-isd-083901
38,1184,6,057806,Advantage Academy,Dallas,C,30,909,https://txschools.net/district/advantage-academy-057806
38,1184,6,228904,Centerville ISD,Trinity,D,30,143,https://txschools.net/district/centerville-isd-228904
38,1184,6,220910,Lake Worth ISD,Tarrant,D,30,3165,https://txschools.net/district/lake-worth-isd-220910
38,1184,6,073903,Marlin ISD,Falls,D,30,796,https://txschools.net/district/marlin-isd-073903
38,1184,6,040901,Morton ISD,Cochran,B,30,350,https://txschools.net/district/morton-isd-040901
38,1184,6,177901,Roscoe Collegiate ISD,Nolan,F,30,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
38,1184,6,071803,Triumph Public High Schools-West Texas,El Paso,B,30,348,https://txschools.net/district/triumph-public-high-schools-west-texas-071803
45,1184,10,185901,Bovina ISD,Parmer,D,31,370,https://txschools.net/district/bovina-isd-185901
45,1184,10,146901,Cleveland ISD,Liberty,D,31,12648,https://txschools.net/district/cleveland-isd-146901
45,1184,10,054901,Crosbyton CISD,Crosby,C,31,293,https://txschools.net/district/crosbyton-cisd-054901
45,1184,10,015905,Edgewood ISD,Bexar,D,31,7670,https://txschools.net/district/edgewood-isd-015905
45,1184,10,072802,Erath Excels Academy Inc,Erath,B,31,111,https://txschools.net/district/erath-excels-academy-inc-072802
45,1184,10,060914,Fannindel ISD,Delta,D,31,152,https://txschools.net/district/fannindel-isd-060914
45,1184,10,198905,Hearne ISD,Robertson,D,31,719,https://txschools.net/district/hearne-isd-198905
45,1184,10,054902,Lorenzo ISD,Crosby,C,31,175,https://txschools.net/district/lorenzo-isd-054902
45,1184,10,015842,Royal Public Schools,Bexar,F,31,394,https://txschools.net/district/royal-public-schools-015842
45,1184,10,232903,Uvalde CISD,Uvalde,F,31,3815,https://txschools.net/district/uvalde-cisd-232903
45,1184,10,018905,Walnut Springs ISD,Bosque,C,31,152,https://txschools.net/district/walnut-springs-isd-018905
56,1184,10,152806,Betty M Condra School for Education Innovation,Lubbock,D,32,168,https://txschools.net/district/betty-m-condra-school-for-education-innovation-152806
56,1184,10,113901,Crockett ISD,Houston,D,32,1098,https://txschools.net/district/crockett-isd-113901
56,1184,10,186902,Fort Stockton ISD,Pecos,C,32,11681,https://txschools.net/district/fort-stockton-isd-186902
56,1184,10,015802,George Gervin Academy,Bexar,B,32,744,https://txschools.net/district/george-gervin-academy-015802
56,1184,10,077902,Lockney ISD,Floyd,D,32,387,https://txschools.net/district/lockney-isd-077902
56,1184,10,168902,Loraine ISD,Mitchell,C,32,133,https://txschools.net/district/loraine-isd-168902
56,1184,10,227907,Manor ISD,Travis,D,32,9826,https://txschools.net/district/manor-isd-227907
56,1184,10,167902,Mullin ISD,Mills,C,32,176,https://txschools.net/district/mullin-isd-167902
56,1184,10,015801,Por Vida Academy,Bexar,B,32,167,https://txschools.net/district/por-vida-academy-015801
56,1184,10,241904,Wharton ISD,Wharton,F,32,1707,https://txschools.net/district/wharton-isd-241904
56,1184,10,101873,Yellowstone College Preparatory,Harris,D,32,361,https://txschools.net/district/yellowstone-college-preparatory-101873
67,1184,12,110901,Anton ISD,Hockley,C,33,171,https://txschools.net/district/anton-isd-110901
67,1184,12,227910,Del Valle ISD,Travis,D,33,11766,https://txschools.net/district/del-valle-isd-227910
67,1184,12,082902,Dilley ISD,Frio,C,33,830,https://txschools.net/district/dilley-isd-082902
67,1184,12,011902,Elgin ISD,Bastrop,D,33,6221,https://txschools.net/district/elgin-isd-011902
67,1184,12,102904,Hallsville ISD,Harrison,C,33,26808,https://txschools.net/district/hallsville-isd-102904
67,1184,12,146905,Hull-Daisetta ISD,Liberty,D,33,425,https://txschools.net/district/hull-daisetta-isd-146905
67,1184,12,019908,Liberty-Eylau ISD,Bowie,D,33,1784,https://txschools.net/district/liberty-eylau-isd-019908
67,1184,12,231901,McCamey ISD,Upton,C,33,469,https://txschools.net/district/mccamey-isd-231901
67,1184,12,082903,Pearsall ISD,Frio,C,33,1900,https://txschools.net/district/pearsall-isd-082903
67,1184,12,189902,Presidio ISD,Presidio,C,33,1063,https://txschools.net/district/presidio-isd-189902
67,1184,12,208902,Snyder ISD,Scurry,C,33,2220,https://txschools.net/district/snyder-isd-208902
67,1184,12,219903,Tulia ISD,Swisher,C,33,730,https://txschools.net/district/tulia-isd-219903
67,1184,12,227806,University of Texas University Charter School,Travis,B,33,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
80,1184,7,014902,Bartlett ISD,Bell,C,34,399,https://txschools.net/district/bartlett-isd-014902
80,1184,7,103901,Channing ISD,Hartley,B,34,118,https://txschools.net/district/channing-isd-103901
80,1184,7,101877,Elevate Collegiate Charter School,Harris,C,34,224,https://txschools.net/district/elevate-collegiate-charter-school-101877
80,1184,7,137901,Kingsville ISD,Kleberg,D,34,2341,https://txschools.net/district/kingsville-isd-137901
80,1184,7,141902,Lometa ISD,Lampasas,B,34,293,https://txschools.net/district/lometa-isd-141902
80,1184,7,076904,Rotan ISD,Fisher,C,34,265,https://txschools.net/district/rotan-isd-076904
80,1184,7,115902,Sierra Blanca ISD,Hudspeth,C,34,97,https://txschools.net/district/sierra-blanca-isd-115902
80,1184,7,161914,Waco ISD,McLennan,D,34,12892,https://txschools.net/district/waco-isd-161914
88,1184,10,108810,Brillante Academy,Hidalgo,F,35,426,https://txschools.net/district/brillante-academy-108810
88,1184,10,025908,Brookesmith ISD,Brown,C,35,508,https://txschools.net/district/brookesmith-isd-025908
88,1184,10,223901,Brownfield ISD,Terry,C,35,1587,https://txschools.net/district/brownfield-isd-223901
88,1184,10,144903,Dime Box ISD,Lee,B,35,169,https://txschools.net/district/dime-box-isd-144903
88,1184,10,057831,Gateway Charter Academy,Dallas,D,35,430,https://txschools.net/district/gateway-charter-academy-057831
88,1184,10,161924,Hallsburg ISD,McLennan,F,35,106,https://txschools.net/district/hallsburg-isd-161924
88,1184,10,248901,Kermit ISD,Winkler,D,35,1255,https://txschools.net/district/kermit-isd-248901
88,1184,10,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,35,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
88,1184,10,251902,Plains ISD,Yoakum,C,35,413,https://txschools.net/district/plains-isd-251902
88,1184,10,072801,Premier High Schools,Erath,B,35,8825,https://txschools.net/district/premier-high-schools-072801
88,1184,10,203901,San Augustine ISD,San Augustine,C,35,585,https://txschools.net/district/san-augustine-isd-203901
99,1184,11,227825,Austin Achieve Public Schools,Travis,C,36,2852,https://txschools.net/district/austin-achieve-public-schools-227825
99,1184,11,123910,Beaumont ISD,Jefferson,D,36,15838,https://txschools.net/district/beaumont-isd-123910
99,1184,11,058902,Dawson ISD,Dawson,B,36,145,https://txschools.net/district/dawson-isd-058902
99,1184,11,049901,Gainesville ISD,Cooke,D,36,3054,https://txschools.net/district/gainesville-isd-049901
99,1184,11,237902,Hempstead ISD,Waller,C,36,1563,https://txschools.net/district/hempstead-isd-237902
99,1184,11,057819,Jean Massieu Academy,Dallas,D,36,172,https://txschools.net/district/jean-massieu-academy-057819
99,1184,11,071807,La Fe Preparatory School,El Paso,B,36,185,https://txschools.net/district/la-fe-preparatory-school-071807
99,1184,11,237905,Royal ISD,Waller,D,36,3086,https://txschools.net/district/royal-isd-237905
99,1184,11,128903,Runge ISD,Karnes,C,36,172,https://txschools.net/district/runge-isd-128903
99,1184,11,101840,Two Dimensions Preparatory Academy,Harris,D,36,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
99,1184,11,181906,West Orange-Cove CISD,Orange,C,36,2502,https://txschools.net/district/west-orange-cove-cisd-181906
99,1184,11,001908,Westwood ISD,Anderson,D,36,1300,https://txschools.net/district/westwood-isd-001908
111,1184,17,024901,Brooks County ISD,Brooks,D,37,1074,https://txschools.net/district/brooks-county-isd-024901
111,1184,17,116903,Commerce ISD,Hunt,D,37,1526,https://txschools.net/district/commerce-isd-116903
