# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/relative-performance-gains
# rows: 1175 (excluding this header and the column row)
# ranking: Texas school districts with the largest Relative Performance gains since 2023-24
# population: 1,175 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 9 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2023_24,2025_26,enrollment,url
1,1175,0,177903,Blackwell CISD,Nolan,A,31,64,95,171,https://txschools.net/district/blackwell-cisd-177903
2,1175,0,184911,Garner ISD,Parker,B,28,60,88,352,https://txschools.net/district/garner-isd-184911
3,1175,1,070901,Avalon ISD,Ellis,B,27,57,84,316,https://txschools.net/district/avalon-isd-070901
3,1175,1,144903,Dime Box ISD,Lee,B,27,55,82,169,https://txschools.net/district/dime-box-isd-144903
5,1175,0,089905,Waelder ISD,Gonzales,B,26,51,77,588,https://txschools.net/district/waelder-isd-089905
6,1175,0,019914,Leary ISD,Bowie,A,25,56,81,106,https://txschools.net/district/leary-isd-019914
7,1175,0,101804,George I Sanchez Charter,Harris,C,24,51,75,941,https://txschools.net/district/george-i-sanchez-charter-101804
8,1175,1,109913,Blum ISD,Hill,A,23,65,88,335,https://txschools.net/district/blum-isd-109913
8,1175,1,057846,Legacy Preparatory,Dallas,B,23,61,84,914,https://txschools.net/district/legacy-preparatory-057846
10,1175,2,050909,Jonesboro ISD,Coryell,C,22,56,78,317,https://txschools.net/district/jonesboro-isd-050909
10,1175,2,071807,La Fe Preparatory School,El Paso,B,22,58,80,185,https://txschools.net/district/la-fe-preparatory-school-071807
10,1175,2,180904,Wildorado ISD,Oldham,A,22,61,83,198,https://txschools.net/district/wildorado-isd-180904
13,1175,1,070801,Faith Family Academy,Ellis,C,21,56,77,2883,https://txschools.net/district/faith-family-academy-070801
13,1175,1,090903,McLean ISD,Gray,B,21,66,87,177,https://txschools.net/district/mclean-isd-090903
15,1175,3,101853,Bakerripley Community Schools,Harris,B,20,60,80,1908,https://txschools.net/district/bakerripley-community-schools-101853
15,1175,3,210906,Excelsior ISD,Shelby,C,20,55,75,112,https://txschools.net/district/excelsior-isd-210906
15,1175,3,237902,Hempstead ISD,Waller,C,20,55,75,1563,https://txschools.net/district/hempstead-isd-237902
