# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/relative-performance-lowest
# rows: 1183 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Relative Performance in 2025-26
# population: 1,183 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 1 reported no figure for this measure and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1183,0,015845,Celebrate Dyslexia Schools,Bexar,F,35,100,https://txschools.net/district/celebrate-dyslexia-schools-015845
2,1183,0,101881,Up Excellence Academy,Harris,F,45,116,https://txschools.net/district/up-excellence-academy-101881
3,1183,0,101875,Bloom Academy Charter School,Harris,F,48,364,https://txschools.net/district/bloom-academy-charter-school-101875
4,1183,2,057809,Nova Academy,Dallas,F,49,67,https://txschools.net/district/nova-academy-057809
4,1183,2,028906,Prairie Lea ISD,Caldwell,F,49,276,https://txschools.net/district/prairie-lea-isd-028906
4,1183,2,177901,Roscoe Collegiate ISD,Nolan,F,49,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
7,1183,4,178807,Corpus Christi Montessori School,Nueces,F,50,132,https://txschools.net/district/corpus-christi-montessori-school-178807
7,1183,4,090905,Grandview-Hopkins ISD,Gray,C,50,44,https://txschools.net/district/grandview-hopkins-isd-090905
7,1183,4,109908,Malone ISD,Hill,F,50,64,https://txschools.net/district/malone-isd-109908
7,1183,4,114801,Pathway Academy,Howard,F,50,130,https://txschools.net/district/pathway-academy-114801
7,1183,4,220801,Treetops School International,Tarrant,C,50,186,https://txschools.net/district/treetops-school-international-220801
12,1183,1,015844,Essence Preparatory Charter School,Bexar,F,52,438,https://txschools.net/district/essence-preparatory-charter-school-015844
12,1183,1,105801,Katherine Anne Porter School,Hays,D,52,76,https://txschools.net/district/katherine-anne-porter-school-105801
14,1183,3,068802,Compass Academy Charter School,Ector,C,53,1759,https://txschools.net/district/compass-academy-charter-school-068802
14,1183,3,161924,Hallsburg ISD,McLennan,F,53,106,https://txschools.net/district/hallsburg-isd-161924
14,1183,3,178808,Seashore Charter Schools,Nueces,B,53,422,https://txschools.net/district/seashore-charter-schools-178808
14,1183,3,170802,Thrive Center for Success,Montgomery,B,53,177,https://txschools.net/district/thrive-center-for-success-170802
18,1183,1,015842,Royal Public Schools,Bexar,F,54,394,https://txschools.net/district/royal-public-schools-015842
18,1183,1,227805,Texas Empowerment Academy,Travis,F,54,760,https://txschools.net/district/texas-empowerment-academy-227805
20,1183,5,152806,Betty M Condra School for Education Innovation,Lubbock,D,55,168,https://txschools.net/district/betty-m-condra-school-for-education-innovation-152806
20,1183,5,086024,Doss Consolidated CSD,Gillespie,B,55,18,https://txschools.net/district/doss-consolidated-csd-086024
20,1183,5,057833,Education Center International Academy,Dallas,D,55,144,https://txschools.net/district/education-center-international-academy-057833
20,1183,5,057831,Gateway Charter Academy,Dallas,D,55,430,https://txschools.net/district/gateway-charter-academy-057831
20,1183,5,072910,Morgan Mill ISD,Erath,F,55,132,https://txschools.net/district/morgan-mill-isd-072910
20,1183,5,227806,University of Texas University Charter School,Travis,B,55,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
26,1183,2,101877,Elevate Collegiate Charter School,Harris,C,56,224,https://txschools.net/district/elevate-collegiate-charter-school-101877
26,1183,2,019913,Hubbard ISD,Bowie,F,56,54,https://txschools.net/district/hubbard-isd-019913
26,1183,2,015839,Promesa Academy Charter School,Bexar,D,56,275,https://txschools.net/district/promesa-academy-charter-school-015839
29,1183,4,213801,Brazos River Charter School,Somervell,C,57,60,https://txschools.net/district/brazos-river-charter-school-213801
29,1183,4,061804,Leadership Prep School,Denton,B,57,1894,https://txschools.net/district/leadership-prep-school-061804
29,1183,4,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,57,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
29,1183,4,143905,Sweet Home ISD,Lavaca,C,57,164,https://txschools.net/district/sweet-home-isd-143905
29,1183,4,101840,Two Dimensions Preparatory Academy,Harris,D,57,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
34,1183,4,108810,Brillante Academy,Hidalgo,F,59,426,https://txschools.net/district/brillante-academy-108810
34,1183,4,101872,Etoile Academy Charter School,Harris,F,59,1064,https://txschools.net/district/etoile-academy-charter-school-101872
34,1183,4,084908,Hitchcock ISD,Galveston,D,59,1937,https://txschools.net/district/hitchcock-isd-084908
34,1183,4,146905,Hull-Daisetta ISD,Liberty,D,59,425,https://txschools.net/district/hull-daisetta-isd-146905
34,1183,4,236802,Sam Houston State University Charter School,Walker,B,59,343,https://txschools.net/district/sam-houston-state-university-charter-school-236802
39,1183,5,018907,Kopperl ISD,Bosque,D,60,163,https://txschools.net/district/kopperl-isd-018907
39,1183,5,125906,La Gloria ISD,Jim Wells,D,60,126,https://txschools.net/district/la-gloria-isd-125906
39,1183,5,049907,Lindsay ISD,Cooke,B,60,504,https://txschools.net/district/lindsay-isd-049907
39,1183,5,227826,Montessori for All,Travis,D,60,556,https://txschools.net/district/montessori-for-all-227826
39,1183,5,022004,Terlingua CSD,Brewster,D,60,140,https://txschools.net/district/terlingua-csd-022004
39,1183,5,227831,Unparalleled Preparatory Academy,Travis,C,60,33,https://txschools.net/district/unparalleled-preparatory-academy-227831
45,1183,1,057819,Jean Massieu Academy,Dallas,D,61,172,https://txschools.net/district/jean-massieu-academy-057819
45,1183,1,189901,Marfa ISD,Presidio,D,61,339,https://txschools.net/district/marfa-isd-189901
47,1183,6,071810,El Paso Leadership Academy,El Paso,F,62,665,https://txschools.net/district/el-paso-leadership-academy-071810
47,1183,6,011902,Elgin ISD,Bastrop,D,62,6221,https://txschools.net/district/elgin-isd-011902
47,1183,6,227912,Lago Vista ISD,Travis,C,62,1864,https://txschools.net/district/lago-vista-isd-227912
47,1183,6,231901,McCamey ISD,Upton,C,62,469,https://txschools.net/district/mccamey-isd-231901
47,1183,6,101814,The Varnett Public School,Harris,D,62,1084,https://txschools.net/district/the-varnett-public-school-101814
47,1183,6,241904,Wharton ISD,Wharton,F,62,1707,https://txschools.net/district/wharton-isd-241904
47,1183,6,101873,Yellowstone College Preparatory,Harris,D,62,361,https://txschools.net/district/yellowstone-college-preparatory-101873
54,1183,4,161923,Bosqueville ISD,McLennan,C,63,718,https://txschools.net/district/bosqueville-isd-161923
54,1183,4,186901,Buena Vista ISD,Pecos,D,63,235,https://txschools.net/district/buena-vista-isd-186901
54,1183,4,220811,East Fort Worth Montessori Academy,Tarrant,D,63,106,https://txschools.net/district/east-fort-worth-montessori-academy-220811
54,1183,4,237905,Royal ISD,Waller,D,63,3086,https://txschools.net/district/royal-isd-237905
54,1183,4,232903,Uvalde CISD,Uvalde,F,63,3815,https://txschools.net/district/uvalde-cisd-232903
59,1183,7,235901,Bloomington ISD,Victoria,D,64,705,https://txschools.net/district/bloomington-isd-235901
59,1183,7,146901,Cleveland ISD,Liberty,D,64,12648,https://txschools.net/district/cleveland-isd-146901
59,1183,7,114902,Coahoma ISD,Howard,C,64,1157,https://txschools.net/district/coahoma-isd-114902
59,1183,7,198905,Hearne ISD,Robertson,D,64,719,https://txschools.net/district/hearne-isd-198905
59,1183,7,201903,Laneville ISD,Rusk,D,64,104,https://txschools.net/district/laneville-isd-201903
59,1183,7,127905,Lueders-Avoca ISD,Jones,D,64,103,https://txschools.net/district/lueders-avoca-isd-127905
59,1183,7,061802,North Texas Collegiate Academy,Denton,D,64,797,https://txschools.net/district/north-texas-collegiate-academy-061802
59,1183,7,022903,San Vicente ISD,Brewster,B,64,14,https://txschools.net/district/san-vicente-isd-022903
67,1183,7,228904,Centerville ISD,Trinity,D,65,143,https://txschools.net/district/centerville-isd-228904
67,1183,7,161921,Connally ISD,McLennan,D,65,2031,https://txschools.net/district/connally-isd-161921
67,1183,7,238904,Grandfalls-Royalty ISD,Ward,C,65,121,https://txschools.net/district/grandfalls-royalty-isd-238904
67,1183,7,102901,Karnack ISD,Harrison,D,65,121,https://txschools.net/district/karnack-isd-102901
67,1183,7,090902,Lefors ISD,Gray,C,65,177,https://txschools.net/district/lefors-isd-090902
67,1183,7,070915,Maypearl ISD,Ellis,C,65,1217,https://txschools.net/district/maypearl-isd-070915
67,1183,7,184901,Poolville ISD,Parker,C,65,764,https://txschools.net/district/poolville-isd-184901
67,1183,7,093905,Richards ISD,Grimes,C,65,261,https://txschools.net/district/richards-isd-093905
75,1183,11,228905,Apple Springs ISD,Trinity,D,66,156,https://txschools.net/district/apple-springs-isd-228905
75,1183,11,196901,Austwell-Tivoli ISD,Refugio,C,66,122,https://txschools.net/district/austwell-tivoli-isd-196901
75,1183,11,198902,Calvert ISD,Robertson,D,66,143,https://txschools.net/district/calvert-isd-198902
75,1183,11,112905,Cumby Collegiate ISD,Hopkins,C,66,485,https://txschools.net/district/cumby-collegiate-isd-112905
75,1183,11,101856,Draw Academy,Harris,C,66,695,https://txschools.net/district/draw-academy-101856
75,1183,11,101925,Huffman ISD,Harris,C,66,3698,https://txschools.net/district/huffman-isd-101925
75,1183,11,015806,Legacy Traditional Schools - Texas,Bexar,B,66,1855,https://txschools.net/district/legacy-traditional-schools-texas-015806
75,1183,11,246908,Liberty Hill ISD,Williamson,B,66,10446,https://txschools.net/district/liberty-hill-isd-246908
75,1183,11,077902,Lockney ISD,Floyd,D,66,387,https://txschools.net/district/lockney-isd-077902
75,1183,11,227907,Manor ISD,Travis,D,66,9826,https://txschools.net/district/manor-isd-227907
75,1183,11,025905,May ISD,Brown,C,66,257,https://txschools.net/district/may-isd-025905
75,1183,11,011905,McDade ISD,Bastrop,C,66,373,https://txschools.net/district/mcdade-isd-011905
87,1183,13,061907,Aubrey ISD,Denton,C,67,4885,https://txschools.net/district/aubrey-isd-061907
87,1183,13,081906,Dew ISD,Freestone,C,67,170,https://txschools.net/district/dew-isd-081906
87,1183,13,049901,Gainesville ISD,Cooke,D,67,3054,https://txschools.net/district/gainesville-isd-049901
87,1183,13,246906,Hutto ISD,Williamson,C,67,11069,https://txschools.net/district/hutto-isd-246906
87,1183,13,015808,Inspire Academies,Bexar,C,67,1158,https://txschools.net/district/inspire-academies-015808
87,1183,13,186903,Iraan-Sheffield Collegiate ISD,Pecos,C,67,514,https://txschools.net/district/iraan-sheffield-collegiate-isd-186903
87,1183,13,137901,Kingsville ISD,Kleberg,D,67,2341,https://txschools.net/district/kingsville-isd-137901
87,1183,13,220910,Lake Worth ISD,Tarrant,D,67,3165,https://txschools.net/district/lake-worth-isd-220910
87,1183,13,101874,Legacy School of Sport Sciences,Harris,D,67,550,https://txschools.net/district/legacy-school-of-sport-sciences-101874
87,1183,13,019908,Liberty-Eylau ISD,Bowie,D,67,1784,https://txschools.net/district/liberty-eylau-isd-019908
87,1183,13,170907,Splendora ISD,Montgomery,C,67,5882,https://txschools.net/district/splendora-isd-170907
87,1183,13,161914,Waco ISD,McLennan,D,67,12892,https://txschools.net/district/waco-isd-161914
87,1183,13,001908,Westwood ISD,Anderson,D,67,1300,https://txschools.net/district/westwood-isd-001908
87,1183,13,229903,Woodville ISD,Tyler,D,67,1169,https://txschools.net/district/woodville-isd-229903
101,1183,15,036901,Anahuac ISD,Chambers,C,68,1533,https://txschools.net/district/anahuac-isd-036901
101,1183,15,024901,Brooks County ISD,Brooks,D,68,1074,https://txschools.net/district/brooks-county-isd-024901
101,1183,15,043903,Celina ISD,Collin,B,68,6337,https://txschools.net/district/celina-isd-043903
101,1183,15,116903,Commerce ISD,Hunt,D,68,1526,https://txschools.net/district/commerce-isd-116903
101,1183,15,113901,Crockett ISD,Houston,D,68,1098,https://txschools.net/district/crockett-isd-113901
101,1183,15,212801,Cumberland Academy,Smith,C,68,1519,https://txschools.net/district/cumberland-academy-212801
101,1183,15,165902,Greenwood ISD,Midland,C,68,3621,https://txschools.net/district/greenwood-isd-165902
101,1183,15,091917,Gunter ISD,Grayson,B,68,1153,https://txschools.net/district/gunter-isd-091917
101,1183,15,057844,Manara Academy,Dallas,B,68,658,https://txschools.net/district/manara-academy-057844
101,1183,15,073903,Marlin ISD,Falls,D,68,796,https://txschools.net/district/marlin-isd-073903
101,1183,15,007906,Poteet ISD,Atascosa,D,68,1867,https://txschools.net/district/poteet-isd-007906
101,1183,15,054903,Ralls ISD,Crosby,C,68,318,https://txschools.net/district/ralls-isd-054903
101,1183,15,067907,Ranger ISD,Eastland,D,68,262,https://txschools.net/district/ranger-isd-067907
101,1183,15,192901,Reagan County ISD,Reagan,C,68,840,https://txschools.net/district/reagan-county-isd-192901
101,1183,15,014801,Richard Milburn Alter High School (Killeen),Bell,C,68,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
101,1183,15,227829,Valor Education,Travis,B,68,4738,https://txschools.net/district/valor-education-227829
117,1183,30,205901,Aransas Pass ISD,San Patricio,C,69,1595,https://txschools.net/district/aransas-pass-isd-205901
117,1183,30,101803,Aristoi Classical Academy,Harris,B,69,1713,https://txschools.net/district/aristoi-classical-academy-101803
117,1183,30,027903,Burnet CISD,Burnet,C,69,3224,https://txschools.net/district/burnet-cisd-027903
117,1183,30,015838,Compass Rose Public Schools,Bexar,C,69,4032,https://txschools.net/district/compass-rose-public-schools-015838
117,1183,30,109903,Covington ISD,Hill,C,69,351,https://txschools.net/district/covington-isd-109903
117,1183,30,052901,Crane ISD,Crane,D,69,1228,https://txschools.net/district/crane-isd-052901
117,1183,30,148905,Darrouzett ISD,Lipscomb,D,69,97,https://txschools.net/district/darrouzett-isd-148905
117,1183,30,249905,Decatur ISD,Wise,C,69,3801,https://txschools.net/district/decatur-isd-249905
117,1183,30,227910,Del Valle ISD,Travis,D,69,11766,https://txschools.net/district/del-valle-isd-227910
117,1183,30,015905,Edgewood ISD,Bexar,D,69,7670,https://txschools.net/district/edgewood-isd-015905
117,1183,30,108809,Excellence In Leadership Academy,Hidalgo,D,69,168,https://txschools.net/district/excellence-in-leadership-academy-108809
117,1183,30,060914,Fannindel ISD,Delta,D,69,152,https://txschools.net/district/fannindel-isd-060914
117,1183,30,186902,Fort Stockton ISD,Pecos,C,69,11681,https://txschools.net/district/fort-stockton-isd-186902
117,1183,30,146904,Hardin ISD,Liberty,C,69,1175,https://txschools.net/district/hardin-isd-146904
117,1183,30,043802,Imagine Lone Star International Academy,Collin,A,69,269,https://txschools.net/district/imagine-lone-star-international-academy-043802
117,1183,30,134901,Junction ISD,Kimble,C,69,552,https://txschools.net/district/junction-isd-134901
117,1183,30,248901,Kermit ISD,Winkler,D,69,1255,https://txschools.net/district/kermit-isd-248901
117,1183,30,101855,Meyerpark Charter,Harris,C,69,259,https://txschools.net/district/meyerpark-charter-101855
117,1183,30,018903,Morgan ISD,Bosque,C,69,138,https://txschools.net/district/morgan-isd-018903
117,1183,30,107908,Murchison ISD,Henderson,D,69,187,https://txschools.net/district/murchison-isd-107908
117,1183,30,123907,Port Arthur ISD,Jefferson,C,69,7664,https://txschools.net/district/port-arthur-isd-123907
117,1183,30,189902,Presidio ISD,Presidio,C,69,1063,https://txschools.net/district/presidio-isd-189902
117,1183,30,098903,Pringle-Morse CISD,Hansford,C,69,126,https://txschools.net/district/pringle-morse-cisd-098903
117,1183,30,066005,Ramirez CSD,Duval,D,69,24,https://txschools.net/district/ramirez-csd-066005
117,1183,30,128903,Runge ISD,Karnes,C,69,172,https://txschools.net/district/runge-isd-128903
117,1183,30,091914,S and S CISD,Grayson,C,69,923,https://txschools.net/district/s-and-s-cisd-091914
117,1183,30,210904,Tenaha ISD,Shelby,C,69,402,https://txschools.net/district/tenaha-isd-210904
117,1183,30,101864,The Lawson Academy,Harris,B,69,317,https://txschools.net/district/the-lawson-academy-101864
117,1183,30,228903,Trinity ISD,Trinity,D,69,1150,https://txschools.net/district/trinity-isd-228903
117,1183,30,227506,University of Texas at Austin HS,Travis,C,69,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
117,1183,30,049903,Valley View ISD,Cooke,B,69,875,https://txschools.net/district/valley-view-isd-049903
148,1183,29,002901,Andrews ISD,Andrews,C,70,4159,https://txschools.net/district/andrews-isd-002901
148,1183,29,043902,Anna ISD,Collin,C,70,6686,https://txschools.net/district/anna-isd-043902
148,1183,29,011901,Bastrop ISD,Bastrop,C,70,13325,https://txschools.net/district/bastrop-isd-011901
148,1183,29,123910,Beaumont ISD,Jefferson,D,70,15838,https://txschools.net/district/beaumont-isd-123910
148,1183,29,166901,Cameron ISD,Milam,D,70,1389,https://txschools.net/district/cameron-isd-166901
148,1183,29,194904,Clarksville ISD,Red River,D,70,504,https://txschools.net/district/clarksville-isd-194904
148,1183,29,105904,Dripping Springs ISD,Hays,B,70,8793,https://txschools.net/district/dripping-springs-isd-105904
148,1183,29,183904,Gary ISD,Panola,D,70,478,https://txschools.net/district/gary-isd-183904
148,1183,29,126911,Godley ISD,Johnson,C,70,3315,https://txschools.net/district/godley-isd-126911
148,1183,29,067904,Gorman ISD,Eastland,C,70,210,https://txschools.net/district/gorman-isd-067904
148,1183,29,033901,Groom ISD,Carson,B,70,112,https://txschools.net/district/groom-isd-033901
148,1183,29,121904,Jasper ISD,Jasper,C,70,1947,https://txschools.net/district/jasper-isd-121904
148,1183,29,061905,Krum ISD,Denton,C,70,2573,https://txschools.net/district/krum-isd-061905
148,1183,29,254902,La Pryor ISD,Zavala,D,70,445,https://txschools.net/district/la-pryor-isd-254902
148,1183,29,107910,Lapoynor ISD,Henderson,C,70,465,https://txschools.net/district/lapoynor-isd-107910
148,1183,29,168902,Loraine ISD,Mitchell,C,70,133,https://txschools.net/district/loraine-isd-168902
148,1183,29,165802,Midland Academy Charter School,Midland,B,70,431,https://txschools.net/district/midland-academy-charter-school-165802
148,1183,29,163903,Natalia ISD,Medina,C,70,1301,https://txschools.net/district/natalia-isd-163903
148,1183,29,249906,Paradise ISD,Wise,B,70,1372,https://txschools.net/district/paradise-isd-249906
148,1183,29,195901,Pecos-Barstow-Toyah ISD,Reeves,C,70,2945,https://txschools.net/district/pecos-barstow-toyah-isd-195901
148,1183,29,061903,Pilot Point ISD,Denton,C,70,1728,https://txschools.net/district/pilot-point-isd-061903
148,1183,29,085902,Post ISD,Garza,D,70,648,https://txschools.net/district/post-isd-085902
148,1183,29,190903,Rains ISD,Rains,C,70,1664,https://txschools.net/district/rains-isd-190903
148,1183,29,178909,Robstown ISD,Nueces,D,70,2478,https://txschools.net/district/robstown-isd-178909
148,1183,29,014908,Salado ISD,Bell,B,70,2582,https://txschools.net/district/salado-isd-014908
148,1183,29,219903,Tulia ISD,Swisher,C,70,730,https://txschools.net/district/tulia-isd-219903
148,1183,29,230904,Union Hill ISD,Upshur,C,70,254,https://txschools.net/district/union-hill-isd-230904
148,1183,29,143904,Vysehrad ISD,Lavaca,D,70,46,https://txschools.net/district/vysehrad-isd-143904
148,1183,29,049908,Walnut Bend ISD,Cooke,C,70,59,https://txschools.net/district/walnut-bend-isd-049908
148,1183,29,229904,Warren ISD,Tyler,C,70,1178,https://txschools.net/district/warren-isd-229904
178,1183,34,230901,Big Sandy ISD,Upshur,C,71,643,https://txschools.net/district/big-sandy-isd-230901
178,1183,34,185901,Bovina ISD,Parmer,D,71,370,https://txschools.net/district/bovina-isd-185901
