# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/school-progress-declines
# rows: 1176 (excluding this header and the column row)
# ranking: Texas school districts with the largest School Progress declines since 2023-24
# population: 1,176 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 8 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2023_24,2025_26,enrollment,url
1,1176,0,227806,University of Texas University Charter School,Travis,B,-37,92,55,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
2,1176,1,109908,Malone ISD,Hill,F,-24,74,50,64,https://txschools.net/district/malone-isd-109908
2,1176,1,227805,Texas Empowerment Academy,Travis,F,-24,83,59,760,https://txschools.net/district/texas-empowerment-academy-227805
4,1176,1,213801,Brazos River Charter School,Somervell,C,-22,91,69,60,https://txschools.net/district/brazos-river-charter-school-213801
4,1176,1,186901,Buena Vista ISD,Pecos,D,-22,85,63,235,https://txschools.net/district/buena-vista-isd-186901
6,1176,0,066005,Ramirez CSD,Duval,D,-21,90,69,24,https://txschools.net/district/ramirez-csd-066005
7,1176,1,201903,Laneville ISD,Rusk,D,-20,84,64,104,https://txschools.net/district/laneville-isd-201903
7,1176,1,143904,Vysehrad ISD,Lavaca,D,-20,90,70,46,https://txschools.net/district/vysehrad-isd-143904
9,1176,1,019913,Hubbard ISD,Bowie,F,-19,75,56,54,https://txschools.net/district/hubbard-isd-019913
9,1176,1,143905,Sweet Home ISD,Lavaca,C,-19,82,63,164,https://txschools.net/district/sweet-home-isd-143905
11,1176,0,196901,Austwell-Tivoli ISD,Refugio,C,-18,85,67,122,https://txschools.net/district/austwell-tivoli-isd-196901
12,1176,0,228904,Centerville ISD,Trinity,D,-17,82,65,143,https://txschools.net/district/centerville-isd-228904
13,1176,2,072802,Erath Excels Academy Inc,Erath,B,-16,94,78,111,https://txschools.net/district/erath-excels-academy-inc-072802
13,1176,2,161924,Hallsburg ISD,McLennan,F,-16,74,58,106,https://txschools.net/district/hallsburg-isd-161924
13,1176,2,244905,Northside ISD,Wilbarger,B,-16,88,72,246,https://txschools.net/district/northside-isd-244905
16,1176,0,161923,Bosqueville ISD,McLennan,C,-15,81,66,718,https://txschools.net/district/bosqueville-isd-161923
17,1176,0,098903,Pringle-Morse CISD,Hansford,C,-13,83,70,126,https://txschools.net/district/pringle-morse-cisd-098903
18,1176,5,148901,Booker ISD,Lipscomb,B,-11,90,79,335,https://txschools.net/district/booker-isd-148901
18,1176,5,220811,East Fort Worth Montessori Academy,Tarrant,D,-11,74,63,106,https://txschools.net/district/east-fort-worth-montessori-academy-220811
18,1176,5,148902,Follett ISD,Lipscomb,C,-11,83,72,170,https://txschools.net/district/follett-isd-148902
18,1176,5,025905,May ISD,Brown,C,-11,77,66,257,https://txschools.net/district/may-isd-025905
18,1176,5,042903,Santa Anna ISD,Coleman,C,-11,82,71,245,https://txschools.net/district/santa-anna-isd-042903
18,1176,5,220801,Treetops School International,Tarrant,C,-11,80,69,186,https://txschools.net/district/treetops-school-international-220801
24,1176,2,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,-10,67,57,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
24,1176,2,014801,Richard Milburn Alter High School (Killeen),Bell,C,-10,78,68,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
24,1176,2,093905,Richards ISD,Grimes,C,-10,75,65,261,https://txschools.net/district/richards-isd-093905
27,1176,8,166901,Cameron ISD,Milam,D,-9,79,70,1389,https://txschools.net/district/cameron-isd-166901
27,1176,8,057841,Cityscape Schools,Dallas,C,-9,83,74,1218,https://txschools.net/district/cityscape-schools-057841
