# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/school-progress-gains
# rows: 1017 (excluding this header and the column row)
# ranking: Texas school districts with the largest School Progress gains since 2023-24
# population: 1,017 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 2 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2023_24,2025_26,enrollment,url
1,1017,0,019914,Leary ISD,Bowie,A,36,56,92,106,https://txschools.net/district/leary-isd-019914
2,1017,0,177903,Blackwell CISD,Nolan,A,31,64,95,171,https://txschools.net/district/blackwell-cisd-177903
3,1017,0,184911,Garner ISD,Parker,B,28,60,88,352,https://txschools.net/district/garner-isd-184911
4,1017,0,144903,Dime Box ISD,Lee,B,27,55,82,169,https://txschools.net/district/dime-box-isd-144903
5,1017,0,070901,Avalon ISD,Ellis,B,26,58,84,316,https://txschools.net/district/avalon-isd-070901
6,1017,0,180904,Wildorado ISD,Oldham,A,23,61,84,198,https://txschools.net/district/wildorado-isd-180904
7,1017,1,050909,Jonesboro ISD,Coryell,C,22,56,78,317,https://txschools.net/district/jonesboro-isd-050909
7,1017,1,085903,Southland ISD,Garza,B,22,66,88,145,https://txschools.net/district/southland-isd-085903
9,1017,1,090903,McLean ISD,Gray,B,21,66,87,177,https://txschools.net/district/mclean-isd-090903
9,1017,1,089905,Waelder ISD,Gonzales,B,21,56,77,588,https://txschools.net/district/waelder-isd-089905
11,1017,1,014902,Bartlett ISD,Bell,C,19,58,77,399,https://txschools.net/district/bartlett-isd-014902
11,1017,1,037908,New Summerfield ISD,Cherokee,B,19,69,88,512,https://txschools.net/district/new-summerfield-isd-037908
13,1017,5,208901,Hermleigh ISD,Scurry,B,17,65,82,265,https://txschools.net/district/hermleigh-isd-208901
13,1017,5,018906,Iredell ISD,Bosque,A,17,76,93,137,https://txschools.net/district/iredell-isd-018906
13,1017,5,127905,Lueders-Avoca ISD,Jones,D,17,64,81,103,https://txschools.net/district/lueders-avoca-isd-127905
13,1017,5,054903,Ralls ISD,Crosby,C,17,58,75,318,https://txschools.net/district/ralls-isd-054903
13,1017,5,067908,Rising Star ISD,Eastland,B,17,65,82,160,https://txschools.net/district/rising-star-isd-067908
13,1017,5,069901,Rocksprings ISD,Edwards,B,17,69,86,201,https://txschools.net/district/rocksprings-isd-069901
19,1017,5,116910,Campbell ISD,Hunt,D,16,55,71,298,https://txschools.net/district/campbell-isd-116910
19,1017,5,246902,Florence ISD,Williamson,B,16,68,84,1125,https://txschools.net/district/florence-isd-246902
19,1017,5,237902,Hempstead ISD,Waller,C,16,60,76,1563,https://txschools.net/district/hempstead-isd-237902
19,1017,5,245901,Lasara ISD,Willacy,B,16,64,80,330,https://txschools.net/district/lasara-isd-245901
19,1017,5,034906,McLeod ISD,Cass,A,16,75,91,420,https://txschools.net/district/mcleod-isd-034906
19,1017,5,167904,Priddy ISD,Mills,A,16,74,90,90,https://txschools.net/district/priddy-isd-167904
25,1017,6,125901,Alice ISD,Jim Wells,B,15,72,87,4198,https://txschools.net/district/alice-isd-125901
25,1017,6,112905,Cumby Collegiate ISD,Hopkins,C,15,64,79,485,https://txschools.net/district/cumby-collegiate-isd-112905
25,1017,6,115903,Dell City ISD,Hudspeth,B,15,71,86,75,https://txschools.net/district/dell-city-isd-115903
25,1017,6,185904,Lazbuddie ISD,Parmer,A,15,74,89,127,https://txschools.net/district/lazbuddie-isd-185904
25,1017,6,197902,Miami ISD,Roberts,A,15,69,84,179,https://txschools.net/district/miami-isd-197902
25,1017,6,050904,Oglesby ISD,Coryell,B,15,71,86,257,https://txschools.net/district/oglesby-isd-050904
25,1017,6,104903,Rule ISD,Haskell,B,15,66,81,143,https://txschools.net/district/rule-isd-104903
32,1017,6,130902,Comfort ISD,Kendall,C,14,61,75,1012,https://txschools.net/district/comfort-isd-130902
32,1017,6,074905,Ector ISD,Fannin,B,14,66,80,234,https://txschools.net/district/ector-isd-074905
32,1017,6,186902,Fort Stockton ISD,Pecos,C,14,55,69,11681,https://txschools.net/district/fort-stockton-isd-186902
32,1017,6,244901,Harrold ISD,Wilbarger,B,14,73,87,159,https://txschools.net/district/harrold-isd-244901
32,1017,6,128901,Karnes City ISD,Karnes,B,14,68,82,928,https://txschools.net/district/karnes-city-isd-128901
32,1017,6,246911,Taylor ISD,Williamson,B,14,67,81,2882,https://txschools.net/district/taylor-isd-246911
32,1017,6,018905,Walnut Springs ISD,Bosque,C,14,58,72,152,https://txschools.net/district/walnut-springs-isd-018905
39,1017,17,217901,Aspermont ISD,Stonewall,A,13,83,96,210,https://txschools.net/district/aspermont-isd-217901
39,1017,17,109913,Blum ISD,Hill,A,13,75,88,335,https://txschools.net/district/blum-isd-109913
39,1017,17,025908,Brookesmith ISD,Brown,C,13,69,82,508,https://txschools.net/district/brookesmith-isd-025908
39,1017,17,049906,Era ISD,Cooke,A,13,77,90,517,https://txschools.net/district/era-isd-049906
39,1017,17,050901,Evant ISD,Coryell,D,13,59,72,192,https://txschools.net/district/evant-isd-050901
39,1017,17,161925,Gholson ISD,McLennan,B,13,74,87,227,https://txschools.net/district/gholson-isd-161925
39,1017,17,113902,Grapeland ISD,Houston,C,13,64,77,578,https://txschools.net/district/grapeland-isd-113902
39,1017,17,091917,Gunter ISD,Grayson,B,13,65,78,1153,https://txschools.net/district/gunter-isd-091917
39,1017,17,202903,Hemphill ISD,Sabine,A,13,79,92,728,https://txschools.net/district/hemphill-isd-202903
39,1017,17,186903,Iraan-Sheffield Collegiate ISD,Pecos,C,13,66,79,514,https://txschools.net/district/iraan-sheffield-collegiate-isd-186903
39,1017,17,131001,Kenedy County Wide CSD,Kenedy,B,13,72,85,123,https://txschools.net/district/kenedy-county-wide-csd-131001
39,1017,17,138902,Knox City-O'Brien CISD,Knox,A,13,82,95,183,https://txschools.net/district/knox-city-o-brien-cisd-138902
39,1017,17,082903,Pearsall ISD,Frio,C,13,63,76,1900,https://txschools.net/district/pearsall-isd-082903
39,1017,17,245904,San Perlita ISD,Willacy,B,13,73,86,174,https://txschools.net/district/san-perlita-isd-245904
39,1017,17,031914,Santa Rosa ISD,Cameron,B,13,76,89,811,https://txschools.net/district/santa-rosa-isd-031914
39,1017,17,247906,Stockdale ISD,Wilson,B,13,72,85,879,https://txschools.net/district/stockdale-isd-247906
39,1017,17,226905,Water Valley ISD,Tom Green,A,13,74,87,305,https://txschools.net/district/water-valley-isd-226905
39,1017,17,025906,Zephyr ISD,Brown,B,13,70,83,217,https://txschools.net/district/zephyr-isd-025906
57,1017,13,101902,Aldine ISD,Harris,C,12,68,80,52115,https://txschools.net/district/aldine-isd-101902
57,1017,13,030903,Baird ISD,Callahan,B,12,70,82,345,https://txschools.net/district/baird-isd-030903
57,1017,13,163902,D'Hanis ISD,Medina,A,12,77,89,297,https://txschools.net/district/d-hanis-isd-163902
