# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/school-progress-lowest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the lowest School Progress in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,0,015845,Celebrate Dyslexia Schools,Bexar,F,46,100,https://txschools.net/district/celebrate-dyslexia-schools-015845
2,1184,0,101881,Up Excellence Academy,Harris,F,48,116,https://txschools.net/district/up-excellence-academy-101881
3,1184,1,109908,Malone ISD,Hill,F,50,64,https://txschools.net/district/malone-isd-109908
3,1184,1,114801,Pathway Academy,Howard,F,50,130,https://txschools.net/district/pathway-academy-114801
5,1184,0,177901,Roscoe Collegiate ISD,Nolan,F,53,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
6,1184,0,057809,Nova Academy,Dallas,F,54,67,https://txschools.net/district/nova-academy-057809
7,1184,1,178807,Corpus Christi Montessori School,Nueces,F,55,132,https://txschools.net/district/corpus-christi-montessori-school-178807
7,1184,1,227806,University of Texas University Charter School,Travis,B,55,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
9,1184,1,019913,Hubbard ISD,Bowie,F,56,54,https://txschools.net/district/hubbard-isd-019913
9,1184,1,028906,Prairie Lea ISD,Caldwell,F,56,276,https://txschools.net/district/prairie-lea-isd-028906
11,1184,1,072910,Morgan Mill ISD,Erath,F,57,132,https://txschools.net/district/morgan-mill-isd-072910
11,1184,1,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,57,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
13,1184,4,101875,Bloom Academy Charter School,Harris,F,58,364,https://txschools.net/district/bloom-academy-charter-school-101875
13,1184,4,086024,Doss Consolidated CSD,Gillespie,B,58,18,https://txschools.net/district/doss-consolidated-csd-086024
13,1184,4,015844,Essence Preparatory Charter School,Bexar,F,58,438,https://txschools.net/district/essence-preparatory-charter-school-015844
13,1184,4,090905,Grandview-Hopkins ISD,Gray,C,58,44,https://txschools.net/district/grandview-hopkins-isd-090905
13,1184,4,161924,Hallsburg ISD,McLennan,F,58,106,https://txschools.net/district/hallsburg-isd-161924
18,1184,2,108810,Brillante Academy,Hidalgo,F,59,426,https://txschools.net/district/brillante-academy-108810
18,1184,2,015842,Royal Public Schools,Bexar,F,59,394,https://txschools.net/district/royal-public-schools-015842
18,1184,2,227805,Texas Empowerment Academy,Travis,F,59,760,https://txschools.net/district/texas-empowerment-academy-227805
21,1184,2,018907,Kopperl ISD,Bosque,D,60,163,https://txschools.net/district/kopperl-isd-018907
21,1184,2,022004,Terlingua CSD,Brewster,D,60,140,https://txschools.net/district/terlingua-csd-022004
21,1184,2,101840,Two Dimensions Preparatory Academy,Harris,D,60,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
24,1184,1,146905,Hull-Daisetta ISD,Liberty,D,61,425,https://txschools.net/district/hull-daisetta-isd-146905
24,1184,1,189901,Marfa ISD,Presidio,D,61,339,https://txschools.net/district/marfa-isd-189901
26,1184,4,071810,El Paso Leadership Academy,El Paso,F,62,665,https://txschools.net/district/el-paso-leadership-academy-071810
26,1184,4,011902,Elgin ISD,Bastrop,D,62,6221,https://txschools.net/district/elgin-isd-011902
26,1184,4,227826,Montessori for All,Travis,D,62,556,https://txschools.net/district/montessori-for-all-227826
26,1184,4,101814,The Varnett Public School,Harris,D,62,1084,https://txschools.net/district/the-varnett-public-school-101814
26,1184,4,241904,Wharton ISD,Wharton,F,62,1707,https://txschools.net/district/wharton-isd-241904
31,1184,6,186901,Buena Vista ISD,Pecos,D,63,235,https://txschools.net/district/buena-vista-isd-186901
31,1184,6,220811,East Fort Worth Montessori Academy,Tarrant,D,63,106,https://txschools.net/district/east-fort-worth-montessori-academy-220811
31,1184,6,084908,Hitchcock ISD,Galveston,D,63,1937,https://txschools.net/district/hitchcock-isd-084908
31,1184,6,015839,Promesa Academy Charter School,Bexar,D,63,275,https://txschools.net/district/promesa-academy-charter-school-015839
31,1184,6,237905,Royal ISD,Waller,D,63,3086,https://txschools.net/district/royal-isd-237905
31,1184,6,143905,Sweet Home ISD,Lavaca,C,63,164,https://txschools.net/district/sweet-home-isd-143905
31,1184,6,232903,Uvalde CISD,Uvalde,F,63,3815,https://txschools.net/district/uvalde-cisd-232903
38,1184,3,101872,Etoile Academy Charter School,Harris,F,64,1064,https://txschools.net/district/etoile-academy-charter-school-101872
38,1184,3,201903,Laneville ISD,Rusk,D,64,104,https://txschools.net/district/laneville-isd-201903
38,1184,3,061802,North Texas Collegiate Academy,Denton,D,64,797,https://txschools.net/district/north-texas-collegiate-academy-061802
38,1184,3,022903,San Vicente ISD,Brewster,B,64,14,https://txschools.net/district/san-vicente-isd-022903
