# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/science-approaches-grade-level-lowest
# rows: 1177 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Science — Approaches in 2025-26
# population: 1,177 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 7 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1177,4,133905,Divide ISD,Kerr,B,-1,41,https://txschools.net/district/divide-isd-133905
1,1177,4,063906,Patton Springs ISD,Dickens,A,-1,22,https://txschools.net/district/patton-springs-isd-063906
1,1177,4,066005,Ramirez CSD,Duval,D,-1,24,https://txschools.net/district/ramirez-csd-066005
1,1177,4,022903,San Vicente ISD,Brewster,B,-1,14,https://txschools.net/district/san-vicente-isd-022903
1,1177,4,049908,Walnut Bend ISD,Cooke,C,-1,59,https://txschools.net/district/walnut-bend-isd-049908
6,1177,0,101877,Elevate Collegiate Charter School,Harris,C,6,224,https://txschools.net/district/elevate-collegiate-charter-school-101877
7,1177,0,101881,Up Excellence Academy,Harris,F,11,116,https://txschools.net/district/up-excellence-academy-101881
8,1177,0,101875,Bloom Academy Charter School,Harris,F,14,364,https://txschools.net/district/bloom-academy-charter-school-101875
9,1177,0,019913,Hubbard ISD,Bowie,F,29,54,https://txschools.net/district/hubbard-isd-019913
10,1177,0,015844,Essence Preparatory Charter School,Bexar,F,31,438,https://txschools.net/district/essence-preparatory-charter-school-015844
11,1177,0,238904,Grandfalls-Royalty ISD,Ward,C,33,121,https://txschools.net/district/grandfalls-royalty-isd-238904
12,1177,0,177901,Roscoe Collegiate ISD,Nolan,F,36,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
13,1177,0,152806,Betty M Condra School for Education Innovation,Lubbock,D,38,168,https://txschools.net/district/betty-m-condra-school-for-education-innovation-152806
14,1177,2,101842,Comquest Academy,Harris,B,40,35,https://txschools.net/district/comquest-academy-101842
14,1177,2,028906,Prairie Lea ISD,Caldwell,F,40,276,https://txschools.net/district/prairie-lea-isd-028906
14,1177,2,015839,Promesa Academy Charter School,Bexar,D,40,275,https://txschools.net/district/promesa-academy-charter-school-015839
17,1177,1,198902,Calvert ISD,Robertson,D,41,143,https://txschools.net/district/calvert-isd-198902
17,1177,1,101872,Etoile Academy Charter School,Harris,F,41,1064,https://txschools.net/district/etoile-academy-charter-school-101872
19,1177,1,109908,Malone ISD,Hill,F,43,64,https://txschools.net/district/malone-isd-109908
19,1177,1,022004,Terlingua CSD,Brewster,D,43,140,https://txschools.net/district/terlingua-csd-022004
21,1177,2,057806,Advantage Academy,Dallas,C,44,909,https://txschools.net/district/advantage-academy-057806
21,1177,2,057833,Education Center International Academy,Dallas,D,44,144,https://txschools.net/district/education-center-international-academy-057833
21,1177,2,067908,Rising Star ISD,Eastland,B,44,160,https://txschools.net/district/rising-star-isd-067908
24,1177,0,161924,Hallsburg ISD,McLennan,F,46,106,https://txschools.net/district/hallsburg-isd-161924
25,1177,1,178807,Corpus Christi Montessori School,Nueces,F,48,132,https://txschools.net/district/corpus-christi-montessori-school-178807
25,1177,1,061802,North Texas Collegiate Academy,Denton,D,48,797,https://txschools.net/district/north-texas-collegiate-academy-061802
27,1177,0,015802,George Gervin Academy,Bexar,B,49,744,https://txschools.net/district/george-gervin-academy-015802
28,1177,6,101853,Bakerripley Community Schools,Harris,B,50,1908,https://txschools.net/district/bakerripley-community-schools-101853
28,1177,6,161921,Connally ISD,McLennan,D,50,2031,https://txschools.net/district/connally-isd-161921
28,1177,6,101856,Draw Academy,Harris,C,50,695,https://txschools.net/district/draw-academy-101856
28,1177,6,125906,La Gloria ISD,Jim Wells,D,50,126,https://txschools.net/district/la-gloria-isd-125906
28,1177,6,168902,Loraine ISD,Mitchell,C,50,133,https://txschools.net/district/loraine-isd-168902
28,1177,6,013801,St Mary's Academy Charter School,Bee,C,50,329,https://txschools.net/district/st-mary-s-academy-charter-school-013801
28,1177,6,101814,The Varnett Public School,Harris,D,50,1084,https://txschools.net/district/the-varnett-public-school-101814
35,1177,0,254902,La Pryor ISD,Zavala,D,51,445,https://txschools.net/district/la-pryor-isd-254902
36,1177,1,073903,Marlin ISD,Falls,D,52,796,https://txschools.net/district/marlin-isd-073903
36,1177,1,101864,The Lawson Academy,Harris,B,52,317,https://txschools.net/district/the-lawson-academy-101864
38,1177,2,084802,Odyssey Academy Inc,Galveston,C,53,1778,https://txschools.net/district/odyssey-academy-inc-084802
38,1177,2,128903,Runge ISD,Karnes,C,53,172,https://txschools.net/district/runge-isd-128903
38,1177,2,071809,Vista Del Futuro Charter School,El Paso,B,53,346,https://txschools.net/district/vista-del-futuro-charter-school-071809
41,1177,2,070801,Faith Family Academy,Ellis,C,54,2883,https://txschools.net/district/faith-family-academy-070801
41,1177,2,227907,Manor ISD,Travis,D,54,9826,https://txschools.net/district/manor-isd-227907
41,1177,2,015842,Royal Public Schools,Bexar,F,54,394,https://txschools.net/district/royal-public-schools-015842
44,1177,3,235901,Bloomington ISD,Victoria,D,55,705,https://txschools.net/district/bloomington-isd-235901
44,1177,3,115902,Sierra Blanca ISD,Hudspeth,C,55,97,https://txschools.net/district/sierra-blanca-isd-115902
44,1177,3,227819,University of Texas Elem Charter School,Travis,C,55,305,https://txschools.net/district/university-of-texas-elem-charter-school-227819
44,1177,3,241904,Wharton ISD,Wharton,F,55,1707,https://txschools.net/district/wharton-isd-241904
48,1177,1,077902,Lockney ISD,Floyd,D,56,387,https://txschools.net/district/lockney-isd-077902
48,1177,1,018902,Meridian ISD,Bosque,C,56,354,https://txschools.net/district/meridian-isd-018902
50,1177,4,108809,Excellence In Leadership Academy,Hidalgo,D,57,168,https://txschools.net/district/excellence-in-leadership-academy-108809
