# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/science-masters-grade-level-highest
# rows: 1012 (excluding this header and the column row)
# ranking: Texas school districts with the highest Science — Masters in 2025-26
# population: 1,012 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 7 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1012,0,131001,Kenedy County Wide CSD,Kenedy,B,75,123,https://txschools.net/district/kenedy-county-wide-csd-131001
2,1012,0,146903,Devers ISD,Liberty,A,73,198,https://txschools.net/district/devers-isd-146903
3,1012,0,220919,Carroll ISD,Tarrant,A,63,7866,https://txschools.net/district/carroll-isd-220919
4,1012,0,035903,Nazareth ISD,Castro,A,61,239,https://txschools.net/district/nazareth-isd-035903
5,1012,1,227909,Eanes ISD,Travis,A,60,7524,https://txschools.net/district/eanes-isd-227909
5,1012,1,043919,Lovejoy ISD,Collin,A,60,3841,https://txschools.net/district/lovejoy-isd-043919
7,1012,0,057911,Highland Park ISD,Dallas,A,58,6215,https://txschools.net/district/highland-park-isd-057911
8,1012,2,057922,Coppell ISD,Dallas,A,57,13047,https://txschools.net/district/coppell-isd-057922
8,1012,2,163902,D'Hanis ISD,Medina,A,57,297,https://txschools.net/district/d-hanis-isd-163902
8,1012,2,235904,Nursery ISD,Victoria,B,57,179,https://txschools.net/district/nursery-isd-235904
11,1012,1,061910,Argyle ISD,Denton,A,55,6551,https://txschools.net/district/argyle-isd-061910
11,1012,1,043905,Frisco ISD,Collin,A,55,62627,https://txschools.net/district/frisco-isd-043905
13,1012,0,101921,Tomball ISD,Harris,A,53,23202,https://txschools.net/district/tomball-isd-101921
14,1012,1,133902,Hunt ISD,Kerr,A,52,211,https://txschools.net/district/hunt-isd-133902
14,1012,1,075908,Round Top-Carmine ISD,Fayette,B,52,237,https://txschools.net/district/round-top-carmine-isd-075908
16,1012,4,043901,Allen ISD,Collin,A,51,20092,https://txschools.net/district/allen-isd-043901
16,1012,4,036902,Barbers Hill ISD,Chambers,A,51,8069,https://txschools.net/district/barbers-hill-isd-036902
16,1012,4,015914,Ft Sam Houston ISD,Bexar,A,51,1543,https://txschools.net/district/ft-sam-houston-isd-015914
16,1012,4,227913,Lake Travis ISD,Travis,A,51,10748,https://txschools.net/district/lake-travis-isd-227913
16,1012,4,198906,Mumford ISD,Robertson,A,51,600,https://txschools.net/district/mumford-isd-198906
21,1012,5,221911,Jim Ned CISD,Taylor,A,50,1625,https://txschools.net/district/jim-ned-cisd-221911
21,1012,5,015906,Randolph Field ISD,Bexar,A,50,1402,https://txschools.net/district/randolph-field-isd-015906
21,1012,5,246909,Round Rock ISD,Williamson,B,50,45865,https://txschools.net/district/round-rock-isd-246909
21,1012,5,057919,Sunnyvale ISD,Dallas,A,50,2313,https://txschools.net/district/sunnyvale-isd-057919
21,1012,5,073904,Westphalia ISD,Falls,A,50,148,https://txschools.net/district/westphalia-isd-073904
21,1012,5,043914,Wylie ISD,Collin,A,50,19400,https://txschools.net/district/wylie-isd-043914
27,1012,3,130901,Boerne ISD,Kendall,A,49,11132,https://txschools.net/district/boerne-isd-130901
27,1012,3,105904,Dripping Springs ISD,Hays,B,49,8793,https://txschools.net/district/dripping-springs-isd-105904
27,1012,3,247904,Poth ISD,Wilson,A,49,967,https://txschools.net/district/poth-isd-247904
27,1012,3,005904,Windthorst ISD,Archer,A,49,491,https://txschools.net/district/windthorst-isd-005904
31,1012,5,075901,Flatonia ISD,Fayette,A,48,675,https://txschools.net/district/flatonia-isd-075901
31,1012,5,020908,Pearland ISD,Brazoria,A,48,20555,https://txschools.net/district/pearland-isd-020908
31,1012,5,019912,Pleasant Grove ISD,Bowie,A,48,2348,https://txschools.net/district/pleasant-grove-isd-019912
31,1012,5,031916,South Texas ISD,Cameron,A,48,4741,https://txschools.net/district/south-texas-isd-031916
31,1012,5,227506,University of Texas at Austin HS,Travis,C,48,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
31,1012,5,180902,Vega ISD,Oldham,A,48,354,https://txschools.net/district/vega-isd-180902
37,1012,3,006902,Claude ISD,Armstrong,A,47,311,https://txschools.net/district/claude-isd-006902
37,1012,3,098901,Gruver ISD,Hansford,A,47,419,https://txschools.net/district/gruver-isd-098901
37,1012,3,101914,Katy ISD,Harris,B,47,95136,https://txschools.net/district/katy-isd-101914
37,1012,3,043908,Melissa ISD,Collin,A,47,8560,https://txschools.net/district/melissa-isd-043908
41,1012,6,184907,Aledo ISD,Parker,A,46,8590,https://txschools.net/district/aledo-isd-184907
41,1012,6,183901,Beckville ISD,Panola,B,46,652,https://txschools.net/district/beckville-isd-183901
41,1012,6,008903,Brazos ISD,Austin,B,46,824,https://txschools.net/district/brazos-isd-008903
41,1012,6,084911,Friendswood ISD,Galveston,A,46,6116,https://txschools.net/district/friendswood-isd-084911
41,1012,6,213901,Glen Rose ISD,Somervell,B,46,2091,https://txschools.net/district/glen-rose-isd-213901
41,1012,6,117904,Plemons-Stinnett-Phillips CISD,Hutchinson,A,46,529,https://txschools.net/district/plemons-stinnett-phillips-cisd-117904
41,1012,6,222901,Terrell County ISD,Terrell,B,46,108,https://txschools.net/district/terrell-county-isd-222901
48,1012,4,161901,Crawford ISD,McLennan,B,45,585,https://txschools.net/district/crawford-isd-161901
48,1012,4,043912,Prosper ISD,Collin,A,45,33583,https://txschools.net/district/prosper-isd-043912
48,1012,4,199901,Rockwall ISD,Rockwall,A,45,19077,https://txschools.net/district/rockwall-isd-199901
48,1012,4,045905,Weimar ISD,Colorado,A,45,735,https://txschools.net/district/weimar-isd-045905
48,1012,4,212906,Whitehouse ISD,Smith,A,45,4840,https://txschools.net/district/whitehouse-isd-212906
53,1012,3,021901,College Station ISD,Brazos,B,44,13892,https://txschools.net/district/college-station-isd-021901
53,1012,3,167901,Goldthwaite ISD,Mills,B,44,504,https://txschools.net/district/goldthwaite-isd-167901
53,1012,3,161907,Lorena ISD,McLennan,A,44,1740,https://txschools.net/district/lorena-isd-161907
53,1012,3,092907,Spring Hill ISD,Gregg,A,44,1941,https://txschools.net/district/spring-hill-isd-092907
57,1012,8,198901,Bremond ISD,Robertson,A,43,461,https://txschools.net/district/bremond-isd-198901
