# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/science-masters-grade-level-lowest
# rows: 1177 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Science — Masters in 2025-26
# population: 1,177 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 7 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1177,4,133905,Divide ISD,Kerr,B,-1,41,https://txschools.net/district/divide-isd-133905
1,1177,4,063906,Patton Springs ISD,Dickens,A,-1,22,https://txschools.net/district/patton-springs-isd-063906
1,1177,4,066005,Ramirez CSD,Duval,D,-1,24,https://txschools.net/district/ramirez-csd-066005
1,1177,4,022903,San Vicente ISD,Brewster,B,-1,14,https://txschools.net/district/san-vicente-isd-022903
1,1177,4,049908,Walnut Bend ISD,Cooke,C,-1,59,https://txschools.net/district/walnut-bend-isd-049908
6,1177,19,152806,Betty M Condra School for Education Innovation,Lubbock,D,0,168,https://txschools.net/district/betty-m-condra-school-for-education-innovation-152806
6,1177,19,101875,Bloom Academy Charter School,Harris,F,0,364,https://txschools.net/district/bloom-academy-charter-school-101875
6,1177,19,101842,Comquest Academy,Harris,B,0,35,https://txschools.net/district/comquest-academy-101842
6,1177,19,057833,Education Center International Academy,Dallas,D,0,144,https://txschools.net/district/education-center-international-academy-057833
6,1177,19,071804,El Paso Academy,El Paso,A,0,294,https://txschools.net/district/el-paso-academy-071804
6,1177,19,101877,Elevate Collegiate Charter School,Harris,C,0,224,https://txschools.net/district/elevate-collegiate-charter-school-101877
6,1177,19,072802,Erath Excels Academy Inc,Erath,B,0,111,https://txschools.net/district/erath-excels-academy-inc-072802
6,1177,19,015844,Essence Preparatory Charter School,Bexar,F,0,438,https://txschools.net/district/essence-preparatory-charter-school-015844
6,1177,19,238904,Grandfalls-Royalty ISD,Ward,C,0,121,https://txschools.net/district/grandfalls-royalty-isd-238904
6,1177,19,090905,Grandview-Hopkins ISD,Gray,C,0,44,https://txschools.net/district/grandview-hopkins-isd-090905
6,1177,19,161924,Hallsburg ISD,McLennan,F,0,106,https://txschools.net/district/hallsburg-isd-161924
6,1177,19,019913,Hubbard ISD,Bowie,F,0,54,https://txschools.net/district/hubbard-isd-019913
6,1177,19,168902,Loraine ISD,Mitchell,C,0,133,https://txschools.net/district/loraine-isd-168902
6,1177,19,109908,Malone ISD,Hill,F,0,64,https://txschools.net/district/malone-isd-109908
6,1177,19,115902,Sierra Blanca ISD,Hudspeth,C,0,97,https://txschools.net/district/sierra-blanca-isd-115902
6,1177,19,022004,Terlingua CSD,Brewster,D,0,140,https://txschools.net/district/terlingua-csd-022004
6,1177,19,101881,Up Excellence Academy,Harris,F,0,116,https://txschools.net/district/up-excellence-academy-101881
6,1177,19,122902,Valentine ISD,Jeff Davis,B,0,28,https://txschools.net/district/valentine-isd-122902
6,1177,19,059902,Walcott ISD,Deaf Smith,B,0,138,https://txschools.net/district/walcott-isd-059902
6,1177,19,153907,Wilson ISD,Lynn,C,0,120,https://txschools.net/district/wilson-isd-153907
26,1177,2,095904,Petersburg ISD,Hale,A,2,230,https://txschools.net/district/petersburg-isd-095904
26,1177,2,028906,Prairie Lea ISD,Caldwell,F,2,276,https://txschools.net/district/prairie-lea-isd-028906
26,1177,2,057804,Texans Can Academies,Dallas,B,2,2880,https://txschools.net/district/texans-can-academies-057804
29,1177,11,057806,Advantage Academy,Dallas,C,3,909,https://txschools.net/district/advantage-academy-057806
29,1177,11,110901,Anton ISD,Hockley,C,3,171,https://txschools.net/district/anton-isd-110901
29,1177,11,198902,Calvert ISD,Robertson,D,3,143,https://txschools.net/district/calvert-isd-198902
29,1177,11,015802,George Gervin Academy,Bexar,B,3,744,https://txschools.net/district/george-gervin-academy-015802
29,1177,11,067904,Gorman ISD,Eastland,C,3,210,https://txschools.net/district/gorman-isd-067904
29,1177,11,090902,Lefors ISD,Gray,C,3,177,https://txschools.net/district/lefors-isd-090902
29,1177,11,018902,Meridian ISD,Bosque,C,3,354,https://txschools.net/district/meridian-isd-018902
29,1177,11,098903,Pringle-Morse CISD,Hansford,C,3,126,https://txschools.net/district/pringle-morse-cisd-098903
29,1177,11,015839,Promesa Academy Charter School,Bexar,D,3,275,https://txschools.net/district/promesa-academy-charter-school-015839
29,1177,11,128903,Runge ISD,Karnes,C,3,172,https://txschools.net/district/runge-isd-128903
29,1177,11,108804,Triumph Public High Schools-Rio Grande Valley,Hidalgo,B,3,477,https://txschools.net/district/triumph-public-high-schools-rio-grande-valley-108804
29,1177,11,071809,Vista Del Futuro Charter School,El Paso,B,3,346,https://txschools.net/district/vista-del-futuro-charter-school-071809
41,1177,14,178807,Corpus Christi Montessori School,Nueces,F,4,132,https://txschools.net/district/corpus-christi-montessori-school-178807
41,1177,14,144903,Dime Box ISD,Lee,B,4,169,https://txschools.net/district/dime-box-isd-144903
41,1177,14,161925,Gholson ISD,McLennan,B,4,227,https://txschools.net/district/gholson-isd-161925
41,1177,14,057830,Inspired Vision Academy,Dallas,C,4,1103,https://txschools.net/district/inspired-vision-academy-057830
41,1177,14,254902,La Pryor ISD,Zavala,D,4,445,https://txschools.net/district/la-pryor-isd-254902
41,1177,14,201903,Laneville ISD,Rusk,D,4,104,https://txschools.net/district/laneville-isd-201903
41,1177,14,077902,Lockney ISD,Floyd,D,4,387,https://txschools.net/district/lockney-isd-077902
41,1177,14,073903,Marlin ISD,Falls,D,4,796,https://txschools.net/district/marlin-isd-073903
41,1177,14,040901,Morton ISD,Cochran,B,4,350,https://txschools.net/district/morton-isd-040901
41,1177,14,014801,Richard Milburn Alter High School (Killeen),Bell,C,4,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
