# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/science-meets-grade-level-highest
# rows: 1177 (excluding this header and the column row)
# ranking: Texas school districts with the highest Science — Meets in 2025-26
# population: 1,177 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 7 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1177,1,146903,Devers ISD,Liberty,A,93,198,https://txschools.net/district/devers-isd-146903
1,1177,1,073904,Westphalia ISD,Falls,A,93,148,https://txschools.net/district/westphalia-isd-073904
3,1177,1,213801,Brazos River Charter School,Somervell,C,86,60,https://txschools.net/district/brazos-river-charter-school-213801
3,1177,1,133902,Hunt ISD,Kerr,A,86,211,https://txschools.net/district/hunt-isd-133902
5,1177,2,220919,Carroll ISD,Tarrant,A,85,7866,https://txschools.net/district/carroll-isd-220919
5,1177,2,227909,Eanes ISD,Travis,A,85,7524,https://txschools.net/district/eanes-isd-227909
5,1177,2,005904,Windthorst ISD,Archer,A,85,491,https://txschools.net/district/windthorst-isd-005904
8,1177,1,015906,Randolph Field ISD,Bexar,A,84,1402,https://txschools.net/district/randolph-field-isd-015906
8,1177,1,220810,Westlake Academy Charter School,Tarrant,A,84,908,https://txschools.net/district/westlake-academy-charter-school-220810
10,1177,1,227814,Chaparral Star Academy,Travis,A,83,385,https://txschools.net/district/chaparral-star-academy-227814
10,1177,1,043919,Lovejoy ISD,Collin,A,83,3841,https://txschools.net/district/lovejoy-isd-043919
12,1177,4,198901,Bremond ISD,Robertson,A,82,461,https://txschools.net/district/bremond-isd-198901
12,1177,4,006902,Claude ISD,Armstrong,A,82,311,https://txschools.net/district/claude-isd-006902
12,1177,4,198906,Mumford ISD,Robertson,A,82,600,https://txschools.net/district/mumford-isd-198906
12,1177,4,035903,Nazareth ISD,Castro,A,82,239,https://txschools.net/district/nazareth-isd-035903
12,1177,4,180902,Vega ISD,Oldham,A,82,354,https://txschools.net/district/vega-isd-180902
17,1177,5,061910,Argyle ISD,Denton,A,81,6551,https://txschools.net/district/argyle-isd-061910
17,1177,5,015914,Ft Sam Houston ISD,Bexar,A,81,1543,https://txschools.net/district/ft-sam-houston-isd-015914
17,1177,5,087901,Glasscock County ISD,Glasscock,A,81,290,https://txschools.net/district/glasscock-county-isd-087901
17,1177,5,098901,Gruver ISD,Hansford,A,81,419,https://txschools.net/district/gruver-isd-098901
17,1177,5,177905,Highland ISD,Nolan,A,81,211,https://txschools.net/district/highland-isd-177905
17,1177,5,057911,Highland Park ISD,Dallas,A,81,6215,https://txschools.net/district/highland-park-isd-057911
23,1177,1,057922,Coppell ISD,Dallas,A,80,13047,https://txschools.net/district/coppell-isd-057922
23,1177,1,033902,Panhandle ISD,Carson,A,80,576,https://txschools.net/district/panhandle-isd-033902
25,1177,9,036902,Barbers Hill ISD,Chambers,A,79,8069,https://txschools.net/district/barbers-hill-isd-036902
25,1177,9,163902,D'Hanis ISD,Medina,A,79,297,https://txschools.net/district/d-hanis-isd-163902
25,1177,9,043905,Frisco ISD,Collin,A,79,62627,https://txschools.net/district/frisco-isd-043905
25,1177,9,167901,Goldthwaite ISD,Mills,B,79,504,https://txschools.net/district/goldthwaite-isd-167901
25,1177,9,221911,Jim Ned CISD,Taylor,A,79,1625,https://txschools.net/district/jim-ned-cisd-221911
25,1177,9,019912,Pleasant Grove ISD,Bowie,A,79,2348,https://txschools.net/district/pleasant-grove-isd-019912
25,1177,9,160904,Rochelle ISD,McCulloch,A,79,166,https://txschools.net/district/rochelle-isd-160904
