# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/science-meets-grade-level-lowest
# rows: 1017 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Science — Meets in 2025-26
# population: 1,017 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 2 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1017,4,133905,Divide ISD,Kerr,B,-1,41,https://txschools.net/district/divide-isd-133905
1,1017,4,063906,Patton Springs ISD,Dickens,A,-1,22,https://txschools.net/district/patton-springs-isd-063906
1,1017,4,066005,Ramirez CSD,Duval,D,-1,24,https://txschools.net/district/ramirez-csd-066005
1,1017,4,022903,San Vicente ISD,Brewster,B,-1,14,https://txschools.net/district/san-vicente-isd-022903
1,1017,4,049908,Walnut Bend ISD,Cooke,C,-1,59,https://txschools.net/district/walnut-bend-isd-049908
6,1017,0,238904,Grandfalls-Royalty ISD,Ward,C,6,121,https://txschools.net/district/grandfalls-royalty-isd-238904
7,1017,0,198902,Calvert ISD,Robertson,D,9,143,https://txschools.net/district/calvert-isd-198902
8,1017,0,028906,Prairie Lea ISD,Caldwell,F,12,276,https://txschools.net/district/prairie-lea-isd-028906
9,1017,0,090905,Grandview-Hopkins ISD,Gray,C,13,44,https://txschools.net/district/grandview-hopkins-isd-090905
10,1017,1,019913,Hubbard ISD,Bowie,F,14,54,https://txschools.net/district/hubbard-isd-019913
10,1017,1,109908,Malone ISD,Hill,F,14,64,https://txschools.net/district/malone-isd-109908
12,1017,1,161924,Hallsburg ISD,McLennan,F,15,106,https://txschools.net/district/hallsburg-isd-161924
12,1017,1,177901,Roscoe Collegiate ISD,Nolan,F,15,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
14,1017,1,073903,Marlin ISD,Falls,D,16,796,https://txschools.net/district/marlin-isd-073903
14,1017,1,059902,Walcott ISD,Deaf Smith,B,16,138,https://txschools.net/district/walcott-isd-059902
16,1017,0,168902,Loraine ISD,Mitchell,C,18,133,https://txschools.net/district/loraine-isd-168902
17,1017,0,022004,Terlingua CSD,Brewster,D,20,140,https://txschools.net/district/terlingua-csd-022004
18,1017,0,090902,Lefors ISD,Gray,C,21,177,https://txschools.net/district/lefors-isd-090902
19,1017,1,040901,Morton ISD,Cochran,B,22,350,https://txschools.net/district/morton-isd-040901
19,1017,1,042905,Panther Creek CISD,Coleman,B,22,139,https://txschools.net/district/panther-creek-cisd-042905
21,1017,1,125906,La Gloria ISD,Jim Wells,D,23,126,https://txschools.net/district/la-gloria-isd-125906
21,1017,1,227907,Manor ISD,Travis,D,23,9826,https://txschools.net/district/manor-isd-227907
23,1017,4,148902,Follett ISD,Lipscomb,C,24,170,https://txschools.net/district/follett-isd-148902
23,1017,4,169906,Gold Burg ISD,Montague,C,24,149,https://txschools.net/district/gold-burg-isd-169906
23,1017,4,102901,Karnack ISD,Harrison,D,24,121,https://txschools.net/district/karnack-isd-102901
