# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/social-studies-approaches-grade-level-lowest
# rows: 1147 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Social Studies — Approaches in 2025-26
# population: 1,147 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 37 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1147,7,019913,Hubbard ISD,Bowie,F,-1,54,https://txschools.net/district/hubbard-isd-019913
1,1147,7,109908,Malone ISD,Hill,F,-1,64,https://txschools.net/district/malone-isd-109908
1,1147,7,022902,Marathon ISD,Brewster,B,-1,46,https://txschools.net/district/marathon-isd-022902
1,1147,7,022903,San Vicente ISD,Brewster,B,-1,14,https://txschools.net/district/san-vicente-isd-022903
1,1147,7,049909,Sivells Bend ISD,Cooke,B,-1,56,https://txschools.net/district/sivells-bend-isd-049909
1,1147,7,122902,Valentine ISD,Jeff Davis,B,-1,28,https://txschools.net/district/valentine-isd-122902
1,1147,7,143904,Vysehrad ISD,Lavaca,D,-1,46,https://txschools.net/district/vysehrad-isd-143904
1,1147,7,049908,Walnut Bend ISD,Cooke,C,-1,59,https://txschools.net/district/walnut-bend-isd-049908
9,1147,0,114801,Pathway Academy,Howard,F,15,130,https://txschools.net/district/pathway-academy-114801
10,1147,0,015842,Royal Public Schools,Bexar,F,17,394,https://txschools.net/district/royal-public-schools-015842
11,1147,1,020910,Damon ISD,Brazoria,B,29,87,https://txschools.net/district/damon-isd-020910
11,1147,1,177901,Roscoe Collegiate ISD,Nolan,F,29,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
13,1147,0,057839,La Academia De Estrellas,Dallas,C,31,1021,https://txschools.net/district/la-academia-de-estrellas-057839
14,1147,0,101872,Etoile Academy Charter School,Harris,F,32,1064,https://txschools.net/district/etoile-academy-charter-school-101872
15,1147,0,101856,Draw Academy,Harris,C,33,695,https://txschools.net/district/draw-academy-101856
16,1147,0,057835,Golden Rule Charter School,Dallas,D,37,1285,https://txschools.net/district/golden-rule-charter-school-057835
17,1147,0,054901,Crosbyton CISD,Crosby,C,38,293,https://txschools.net/district/crosbyton-cisd-054901
18,1147,0,101814,The Varnett Public School,Harris,D,40,1084,https://txschools.net/district/the-varnett-public-school-101814
19,1147,0,067907,Ranger ISD,Eastland,D,43,262,https://txschools.net/district/ranger-isd-067907
20,1147,1,178807,Corpus Christi Montessori School,Nueces,F,44,132,https://txschools.net/district/corpus-christi-montessori-school-178807
20,1147,1,209902,Moran ISD,Shackelford,C,44,86,https://txschools.net/district/moran-isd-209902
22,1147,0,022004,Terlingua CSD,Brewster,D,45,140,https://txschools.net/district/terlingua-csd-022004
23,1147,0,028906,Prairie Lea ISD,Caldwell,F,49,276,https://txschools.net/district/prairie-lea-isd-028906
24,1147,6,169906,Gold Burg ISD,Montague,C,50,149,https://txschools.net/district/gold-burg-isd-169906
24,1147,6,102901,Karnack ISD,Harrison,D,50,121,https://txschools.net/district/karnack-isd-102901
24,1147,6,057844,Manara Academy,Dallas,B,50,658,https://txschools.net/district/manara-academy-057844
24,1147,6,072910,Morgan Mill ISD,Erath,F,50,132,https://txschools.net/district/morgan-mill-isd-072910
24,1147,6,115902,Sierra Blanca ISD,Hudspeth,C,50,97,https://txschools.net/district/sierra-blanca-isd-115902
24,1147,6,227805,Texas Empowerment Academy,Travis,F,50,760,https://txschools.net/district/texas-empowerment-academy-227805
24,1147,6,025906,Zephyr ISD,Brown,B,50,217,https://txschools.net/district/zephyr-isd-025906
31,1147,2,101853,Bakerripley Community Schools,Harris,B,51,1908,https://txschools.net/district/bakerripley-community-schools-101853
31,1147,2,235901,Bloomington ISD,Victoria,D,51,705,https://txschools.net/district/bloomington-isd-235901
31,1147,2,070801,Faith Family Academy,Ellis,C,51,2883,https://txschools.net/district/faith-family-academy-070801
34,1147,1,246914,Coupland ISD,Williamson,C,52,315,https://txschools.net/district/coupland-isd-246914
34,1147,1,089905,Waelder ISD,Gonzales,B,52,588,https://txschools.net/district/waelder-isd-089905
36,1147,9,123805,Ehrhart School,Jefferson,A,53,593,https://txschools.net/district/ehrhart-school-123805
36,1147,9,071810,El Paso Leadership Academy,El Paso,F,53,665,https://txschools.net/district/el-paso-leadership-academy-071810
36,1147,9,060914,Fannindel ISD,Delta,D,53,152,https://txschools.net/district/fannindel-isd-060914
36,1147,9,234909,Fruitvale ISD,Van Zandt,B,53,390,https://txschools.net/district/fruitvale-isd-234909
36,1147,9,201903,Laneville ISD,Rusk,D,53,104,https://txschools.net/district/laneville-isd-201903
36,1147,9,168902,Loraine ISD,Mitchell,C,53,133,https://txschools.net/district/loraine-isd-168902
36,1147,9,104907,Paint Creek ISD,Haskell,A,53,116,https://txschools.net/district/paint-creek-isd-104907
36,1147,9,203901,San Augustine ISD,San Augustine,C,53,585,https://txschools.net/district/san-augustine-isd-203901
36,1147,9,153907,Wilson ISD,Lynn,C,53,120,https://txschools.net/district/wilson-isd-153907
36,1147,9,101873,Yellowstone College Preparatory,Harris,D,53,361,https://txschools.net/district/yellowstone-college-preparatory-101873
46,1147,5,101871,A' Unlimited Potential,Harris,B,54,190,https://txschools.net/district/a-unlimited-potential-101871
46,1147,5,057841,Cityscape Schools,Dallas,C,54,1218,https://txschools.net/district/cityscape-schools-057841
46,1147,5,015838,Compass Rose Public Schools,Bexar,C,54,4032,https://txschools.net/district/compass-rose-public-schools-015838
46,1147,5,105804,Doral Academy of Texas,Hays,B,54,450,https://txschools.net/district/doral-academy-of-texas-105804
46,1147,5,015806,Legacy Traditional Schools - Texas,Bexar,B,54,1855,https://txschools.net/district/legacy-traditional-schools-texas-015806
46,1147,5,040901,Morton ISD,Cochran,B,54,350,https://txschools.net/district/morton-isd-040901
52,1147,2,050901,Evant ISD,Coryell,D,55,192,https://txschools.net/district/evant-isd-050901
52,1147,2,187906,Leggett ISD,Polk,C,55,204,https://txschools.net/district/leggett-isd-187906
52,1147,2,223904,Wellman-Union CISD,Terry,A,55,245,https://txschools.net/district/wellman-union-cisd-223904
55,1147,4,124901,Jim Hogg County ISD,Jim Hogg,C,56,927,https://txschools.net/district/jim-hogg-county-isd-124901
55,1147,4,107908,Murchison ISD,Henderson,D,56,187,https://txschools.net/district/murchison-isd-107908
55,1147,4,145907,Oakwood ISD,Leon,C,56,205,https://txschools.net/district/oakwood-isd-145907
55,1147,4,101868,The Pro-Vision Academy,Harris,B,56,239,https://txschools.net/district/the-pro-vision-academy-101868
55,1147,4,224901,Throckmorton Collegiate ISD,Throckmorton,B,56,145,https://txschools.net/district/throckmorton-collegiate-isd-224901
60,1147,10,101810,Academy of Accelerated Learning Inc,Harris,B,57,711,https://txschools.net/district/academy-of-accelerated-learning-inc-101810
60,1147,10,039904,Bellevue ISD,Clay,A,57,242,https://txschools.net/district/bellevue-isd-039904
60,1147,10,034909,Bloomburg ISD,Cass,B,57,202,https://txschools.net/district/bloomburg-isd-034909
60,1147,10,178905,Driscoll ISD,Nueces,B,57,1030,https://txschools.net/district/driscoll-isd-178905
60,1147,10,015802,George Gervin Academy,Bexar,B,57,744,https://txschools.net/district/george-gervin-academy-015802
60,1147,10,238904,Grandfalls-Royalty ISD,Ward,C,57,121,https://txschools.net/district/grandfalls-royalty-isd-238904
60,1147,10,057819,Jean Massieu Academy,Dallas,D,57,172,https://txschools.net/district/jean-massieu-academy-057819
60,1147,10,178909,Robstown ISD,Nueces,D,57,2478,https://txschools.net/district/robstown-isd-178909
60,1147,10,210904,Tenaha ISD,Shelby,C,57,402,https://txschools.net/district/tenaha-isd-210904
