# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/social-studies-masters-grade-level-highest
# rows: 1006 (excluding this header and the column row)
# ranking: Texas school districts with the highest Social Studies — Masters in 2025-26
# population: 1,006 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 13 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1006,0,057911,Highland Park ISD,Dallas,A,65,6215,https://txschools.net/district/highland-park-isd-057911
2,1006,1,227909,Eanes ISD,Travis,A,63,7524,https://txschools.net/district/eanes-isd-227909
2,1006,1,075906,Fayetteville ISD,Fayette,A,63,308,https://txschools.net/district/fayetteville-isd-075906
4,1006,0,220919,Carroll ISD,Tarrant,A,62,7866,https://txschools.net/district/carroll-isd-220919
5,1006,2,043919,Lovejoy ISD,Collin,A,59,3841,https://txschools.net/district/lovejoy-isd-043919
5,1006,2,198906,Mumford ISD,Robertson,A,59,600,https://txschools.net/district/mumford-isd-198906
5,1006,2,057919,Sunnyvale ISD,Dallas,A,59,2313,https://txschools.net/district/sunnyvale-isd-057919
8,1006,0,057922,Coppell ISD,Dallas,A,58,13047,https://txschools.net/district/coppell-isd-057922
9,1006,1,194902,Avery ISD,Red River,A,56,295,https://txschools.net/district/avery-isd-194902
9,1006,1,227913,Lake Travis ISD,Travis,A,56,10748,https://txschools.net/district/lake-travis-isd-227913
11,1006,0,143906,Ezzell ISD,Lavaca,B,55,124,https://txschools.net/district/ezzell-isd-143906
12,1006,0,015906,Randolph Field ISD,Bexar,A,54,1402,https://txschools.net/district/randolph-field-isd-015906
13,1006,1,174908,Central Heights ISD,Nacogdoches,A,52,1106,https://txschools.net/district/central-heights-isd-174908
13,1006,1,043905,Frisco ISD,Collin,A,52,62627,https://txschools.net/district/frisco-isd-043905
15,1006,0,043901,Allen ISD,Collin,A,51,20092,https://txschools.net/district/allen-isd-043901
16,1006,0,101914,Katy ISD,Harris,B,50,95136,https://txschools.net/district/katy-isd-101914
17,1006,0,061910,Argyle ISD,Denton,A,49,6551,https://txschools.net/district/argyle-isd-061910
18,1006,0,015901,Alamo Heights ISD,Bexar,B,48,4723,https://txschools.net/district/alamo-heights-isd-015901
19,1006,4,198903,Franklin ISD,Robertson,A,47,1438,https://txschools.net/district/franklin-isd-198903
19,1006,4,086902,Harper ISD,Gillespie,B,47,566,https://txschools.net/district/harper-isd-086902
19,1006,4,246909,Round Rock ISD,Williamson,B,47,45865,https://txschools.net/district/round-rock-isd-246909
19,1006,4,101921,Tomball ISD,Harris,A,47,23202,https://txschools.net/district/tomball-isd-101921
19,1006,4,221905,Trent ISD,Taylor,B,47,118,https://txschools.net/district/trent-isd-221905
24,1006,3,146903,Devers ISD,Liberty,A,46,198,https://txschools.net/district/devers-isd-146903
24,1006,3,075901,Flatonia ISD,Fayette,A,46,675,https://txschools.net/district/flatonia-isd-075901
24,1006,3,015914,Ft Sam Houston ISD,Bexar,A,46,1543,https://txschools.net/district/ft-sam-houston-isd-015914
24,1006,3,120905,Industrial ISD,Jackson,B,46,1153,https://txschools.net/district/industrial-isd-120905
28,1006,1,177905,Highland ISD,Nolan,A,45,211,https://txschools.net/district/highland-isd-177905
28,1006,1,043914,Wylie ISD,Collin,A,45,19400,https://txschools.net/district/wylie-isd-043914
30,1006,5,022901,Alpine ISD,Brewster,C,44,956,https://txschools.net/district/alpine-isd-022901
30,1006,5,030906,Eula ISD,Callahan,B,44,486,https://txschools.net/district/eula-isd-030906
30,1006,5,128904,Falls City ISD,Karnes,A,44,452,https://txschools.net/district/falls-city-isd-128904
30,1006,5,143902,Moulton ISD,Lavaca,B,44,258,https://txschools.net/district/moulton-isd-143902
30,1006,5,035903,Nazareth ISD,Castro,A,44,239,https://txschools.net/district/nazareth-isd-035903
30,1006,5,031916,South Texas ISD,Cameron,A,44,4741,https://txschools.net/district/south-texas-isd-031916
