# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/social-studies-meets-grade-level-highest
# rows: 1006 (excluding this header and the column row)
# ranking: Texas school districts with the highest Social Studies — Meets in 2025-26
# population: 1,006 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 13 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1006,0,143906,Ezzell ISD,Lavaca,B,91,124,https://txschools.net/district/ezzell-isd-143906
2,1006,1,138904,Benjamin ISD,Knox,B,86,96,https://txschools.net/district/benjamin-isd-138904
2,1006,1,227909,Eanes ISD,Travis,A,86,7524,https://txschools.net/district/eanes-isd-227909
4,1006,0,220919,Carroll ISD,Tarrant,A,85,7866,https://txschools.net/district/carroll-isd-220919
5,1006,2,194902,Avery ISD,Red River,A,84,295,https://txschools.net/district/avery-isd-194902
5,1006,2,057911,Highland Park ISD,Dallas,A,84,6215,https://txschools.net/district/highland-park-isd-057911
5,1006,2,043919,Lovejoy ISD,Collin,A,84,3841,https://txschools.net/district/lovejoy-isd-043919
8,1006,0,015906,Randolph Field ISD,Bexar,A,83,1402,https://txschools.net/district/randolph-field-isd-015906
9,1006,1,075901,Flatonia ISD,Fayette,A,81,675,https://txschools.net/district/flatonia-isd-075901
9,1006,1,083902,Loop ISD,Gaines,A,81,143,https://txschools.net/district/loop-isd-083902
11,1006,2,178901,Agua Dulce ISD,Nueces,B,80,387,https://txschools.net/district/agua-dulce-isd-178901
11,1006,2,017901,Borden County ISD,Borden,A,80,238,https://txschools.net/district/borden-county-isd-017901
11,1006,2,057922,Coppell ISD,Dallas,A,80,13047,https://txschools.net/district/coppell-isd-057922
14,1006,1,174908,Central Heights ISD,Nacogdoches,A,79,1106,https://txschools.net/district/central-heights-isd-174908
14,1006,1,057919,Sunnyvale ISD,Dallas,A,79,2313,https://txschools.net/district/sunnyvale-isd-057919
16,1006,4,015914,Ft Sam Houston ISD,Bexar,A,78,1543,https://txschools.net/district/ft-sam-houston-isd-015914
