# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/student-achievement-declines
# rows: 1017 (excluding this header and the column row)
# ranking: Texas school districts with the largest Student Achievement declines since 2023-24
# population: 1,017 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 2 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2023_24,2025_26,enrollment,url
1,1017,0,066005,Ramirez CSD,Duval,D,-18,82,64,24,https://txschools.net/district/ramirez-csd-066005
2,1017,1,186901,Buena Vista ISD,Pecos,D,-17,87,70,235,https://txschools.net/district/buena-vista-isd-186901
2,1017,1,028906,Prairie Lea ISD,Caldwell,F,-17,66,49,276,https://txschools.net/district/prairie-lea-isd-028906
4,1017,1,019913,Hubbard ISD,Bowie,F,-16,72,56,54,https://txschools.net/district/hubbard-isd-019913
4,1017,1,201903,Laneville ISD,Rusk,D,-16,84,68,104,https://txschools.net/district/laneville-isd-201903
6,1017,0,143904,Vysehrad ISD,Lavaca,D,-15,85,70,46,https://txschools.net/district/vysehrad-isd-143904
7,1017,1,148902,Follett ISD,Lipscomb,C,-12,88,76,170,https://txschools.net/district/follett-isd-148902
7,1017,1,109908,Malone ISD,Hill,F,-12,62,50,64,https://txschools.net/district/malone-isd-109908
9,1017,2,228904,Centerville ISD,Trinity,D,-11,87,76,143,https://txschools.net/district/centerville-isd-228904
9,1017,2,244905,Northside ISD,Wilbarger,B,-11,93,82,246,https://txschools.net/district/northside-isd-244905
9,1017,2,210904,Tenaha ISD,Shelby,C,-11,82,71,402,https://txschools.net/district/tenaha-isd-210904
12,1017,1,148901,Booker ISD,Lipscomb,B,-10,91,81,335,https://txschools.net/district/booker-isd-148901
12,1017,1,143905,Sweet Home ISD,Lavaca,C,-10,88,78,164,https://txschools.net/district/sweet-home-isd-143905
14,1017,1,112909,Saltillo ISD,Hopkins,A,-9,96,87,236,https://txschools.net/district/saltillo-isd-112909
14,1017,1,022004,Terlingua CSD,Brewster,D,-9,74,65,140,https://txschools.net/district/terlingua-csd-022004
16,1017,3,196901,Austwell-Tivoli ISD,Refugio,C,-8,85,77,122,https://txschools.net/district/austwell-tivoli-isd-196901
16,1017,3,109903,Covington ISD,Hill,C,-8,82,74,351,https://txschools.net/district/covington-isd-109903
16,1017,3,238904,Grandfalls-Royalty ISD,Ward,C,-8,78,70,121,https://txschools.net/district/grandfalls-royalty-isd-238904
16,1017,3,222901,Terrell County ISD,Terrell,B,-8,91,83,108,https://txschools.net/district/terrell-county-isd-222901
20,1017,2,024901,Brooks County ISD,Brooks,D,-7,69,62,1074,https://txschools.net/district/brooks-county-isd-024901
20,1017,2,025905,May ISD,Brown,C,-7,80,73,257,https://txschools.net/district/may-isd-025905
20,1017,2,093905,Richards ISD,Grimes,C,-7,84,77,261,https://txschools.net/district/richards-isd-093905
23,1017,1,072910,Morgan Mill ISD,Erath,F,-6,65,59,132,https://txschools.net/district/morgan-mill-isd-072910
23,1017,1,062905,Westhoff ISD,Dewitt,B,-6,93,87,100,https://txschools.net/district/westhoff-isd-062905
25,1017,7,109902,Bynum ISD,Hill,B,-5,91,86,174,https://txschools.net/district/bynum-isd-109902
25,1017,7,161924,Hallsburg ISD,McLennan,F,-5,60,55,106,https://txschools.net/district/hallsburg-isd-161924
25,1017,7,102905,Harleton ISD,Harrison,B,-5,90,85,702,https://txschools.net/district/harleton-isd-102905
25,1017,7,091905,Howe ISD,Grayson,C,-5,83,78,1191,https://txschools.net/district/howe-isd-091905
