# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/student-achievement-highest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the highest Student Achievement in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,1,227814,Chaparral Star Academy,Travis,A,98,385,https://txschools.net/district/chaparral-star-academy-227814
1,1184,1,220810,Westlake Academy Charter School,Tarrant,A,98,908,https://txschools.net/district/westlake-academy-charter-school-220810
3,1184,5,177903,Blackwell CISD,Nolan,A,97,171,https://txschools.net/district/blackwell-cisd-177903
3,1184,5,092801,East Texas Charter Schools,Gregg,A,97,125,https://txschools.net/district/east-texas-charter-schools-092801
3,1184,5,075906,Fayetteville ISD,Fayette,A,97,308,https://txschools.net/district/fayetteville-isd-075906
3,1184,5,156905,Grady ISD,Martin,A,97,242,https://txschools.net/district/grady-isd-156905
3,1184,5,177905,Highland ISD,Nolan,A,97,211,https://txschools.net/district/highland-isd-177905
3,1184,5,162904,McMullen County ISD,McMullen,A,97,286,https://txschools.net/district/mcmullen-county-isd-162904
9,1184,13,217901,Aspermont ISD,Stonewall,A,96,210,https://txschools.net/district/aspermont-isd-217901
9,1184,13,194902,Avery ISD,Red River,A,96,295,https://txschools.net/district/avery-isd-194902
9,1184,13,017901,Borden County ISD,Borden,A,96,238,https://txschools.net/district/borden-county-isd-017901
9,1184,13,203902,Broaddus ISD,San Augustine,A,96,380,https://txschools.net/district/broaddus-isd-203902
9,1184,13,006902,Claude ISD,Armstrong,A,96,311,https://txschools.net/district/claude-isd-006902
9,1184,13,174911,Douglass ISD,Nacogdoches,A,96,405,https://txschools.net/district/douglass-isd-174911
9,1184,13,087901,Glasscock County ISD,Glasscock,A,96,290,https://txschools.net/district/glasscock-county-isd-087901
9,1184,13,057911,Highland Park ISD,Dallas,A,96,6215,https://txschools.net/district/highland-park-isd-057911
9,1184,13,072908,Huckabay ISD,Erath,A,96,345,https://txschools.net/district/huckabay-isd-072908
9,1184,13,132902,Jayton-Girard ISD,Kent,A,96,187,https://txschools.net/district/jayton-girard-isd-132902
9,1184,13,246801,Meridian World School LLC,Williamson,A,96,1757,https://txschools.net/district/meridian-world-school-llc-246801
9,1184,13,035903,Nazareth ISD,Castro,A,96,239,https://txschools.net/district/nazareth-isd-035903
9,1184,13,154903,North Zulch ISD,Madison,A,96,335,https://txschools.net/district/north-zulch-isd-154903
9,1184,13,110908,Whitharral ISD,Hockley,A,96,223,https://txschools.net/district/whitharral-isd-110908
23,1184,11,220919,Carroll ISD,Tarrant,A,95,7866,https://txschools.net/district/carroll-isd-220919
23,1184,11,146903,Devers ISD,Liberty,A,95,198,https://txschools.net/district/devers-isd-146903
23,1184,11,098901,Gruver ISD,Hansford,A,95,419,https://txschools.net/district/gruver-isd-098901
23,1184,11,083902,Loop ISD,Gaines,A,95,143,https://txschools.net/district/loop-isd-083902
23,1184,11,043919,Lovejoy ISD,Collin,A,95,3841,https://txschools.net/district/lovejoy-isd-043919
23,1184,11,200902,Miles ISD,Runnels,A,95,497,https://txschools.net/district/miles-isd-200902
23,1184,11,198906,Mumford ISD,Robertson,A,95,600,https://txschools.net/district/mumford-isd-198906
23,1184,11,014804,Orenda Charter School,Bell,A,95,1936,https://txschools.net/district/orenda-charter-school-014804
23,1184,11,183801,Panola Charter School,Panola,A,95,174,https://txschools.net/district/panola-charter-school-183801
23,1184,11,174801,Stephen F Austin State University Charter School,Nacogdoches,A,95,254,https://txschools.net/district/stephen-f-austin-state-university-charter-school-174801
23,1184,11,057919,Sunnyvale ISD,Dallas,A,95,2313,https://txschools.net/district/sunnyvale-isd-057919
23,1184,11,212804,UT Tyler University Academy,Smith,A,95,1224,https://txschools.net/district/ut-tyler-university-academy-212804
35,1184,17,109901,Abbott ISD,Hill,A,94,285,https://txschools.net/district/abbott-isd-109901
