# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/travis-county-districts/overall-score-gains
# rows: 21 (excluding this header and the column row)
# ranking: Travis County school districts with the largest overall score gains since 2021-22
# population: 21 districts of 23 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 1 has no figure at the start of the window and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,21,0,227814,Chaparral Star Academy,Travis,A,6,93,99,385,https://txschools.net/district/chaparral-star-academy-227814
2,21,0,227913,Lake Travis ISD,Travis,A,5,86,91,10748,https://txschools.net/district/lake-travis-isd-227913
3,21,1,227804,NYOS Charter School,Travis,B,4,85,89,1808,https://txschools.net/district/nyos-charter-school-227804
3,21,1,227904,Pflugerville ISD,Travis,B,4,77,81,25028,https://txschools.net/district/pflugerville-isd-227904
5,21,1,227820,KIPP Texas Public Schools,Travis,B,2,82,84,31596,https://txschools.net/district/kipp-texas-public-schools-227820
5,21,1,227803,Wayside Schools,Travis,C,2,73,75,1923,https://txschools.net/district/wayside-schools-227803
7,21,0,227909,Eanes ISD,Travis,A,1,93,94,7524,https://txschools.net/district/eanes-isd-227909
8,21,0,227816,Harmony Public Schools - Central Texas,Travis,B,0,86,86,5679,https://txschools.net/district/harmony-public-schools-central-texas-227816
9,21,1,227825,Austin Achieve Public Schools,Travis,C,-1,72,71,2852,https://txschools.net/district/austin-achieve-public-schools-227825
9,21,1,227901,Austin ISD,Travis,B,-1,82,81,69000,https://txschools.net/district/austin-isd-227901
11,21,0,227907,Manor ISD,Travis,D,-2,68,66,9826,https://txschools.net/district/manor-isd-227907
12,21,0,227912,Lago Vista ISD,Travis,C,-3,80,77,1864,https://txschools.net/district/lago-vista-isd-227912
13,21,0,227910,Del Valle ISD,Travis,D,-7,73,66,11766,https://txschools.net/district/del-valle-isd-227910
14,21,1,227826,Montessori for All,Travis,D,-8,77,69,556,https://txschools.net/district/montessori-for-all-227826
14,21,1,227824,Valere Public Schools,Travis,C,-8,78,70,812,https://txschools.net/district/valere-public-schools-227824
16,21,1,227817,Cedars International Academy,Travis,B,-9,92,83,543,https://txschools.net/district/cedars-international-academy-227817
16,21,1,227829,Valor Education,Travis,B,-9,90,81,4738,https://txschools.net/district/valor-education-227829
18,21,1,227506,University of Texas at Austin HS,Travis,C,-13,83,70,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
18,21,1,227806,University of Texas University Charter School,Travis,B,-13,97,84,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
20,21,0,227819,University of Texas Elem Charter School,Travis,C,-15,91,76,305,https://txschools.net/district/university-of-texas-elem-charter-school-227819
21,21,0,227805,Texas Empowerment Academy,Travis,F,-31,88,57,760,https://txschools.net/district/texas-empowerment-academy-227805
