# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/travis-county-districts/overall-score-lowest
# rows: 22 (excluding this header and the column row)
# ranking: Travis County school districts with the lowest overall score in 2025-26
# population: 22 districts of 23 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,22,0,227805,Texas Empowerment Academy,Travis,F,57,760,https://txschools.net/district/texas-empowerment-academy-227805
2,22,1,227910,Del Valle ISD,Travis,D,66,11766,https://txschools.net/district/del-valle-isd-227910
2,22,1,227907,Manor ISD,Travis,D,66,9826,https://txschools.net/district/manor-isd-227907
4,22,0,227826,Montessori for All,Travis,D,69,556,https://txschools.net/district/montessori-for-all-227826
5,22,1,227506,University of Texas at Austin HS,Travis,C,70,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
5,22,1,227824,Valere Public Schools,Travis,C,70,812,https://txschools.net/district/valere-public-schools-227824
7,22,1,227825,Austin Achieve Public Schools,Travis,C,71,2852,https://txschools.net/district/austin-achieve-public-schools-227825
7,22,1,227831,Unparalleled Preparatory Academy,Travis,C,71,33,https://txschools.net/district/unparalleled-preparatory-academy-227831
9,22,0,227803,Wayside Schools,Travis,C,75,1923,https://txschools.net/district/wayside-schools-227803
10,22,0,227819,University of Texas Elem Charter School,Travis,C,76,305,https://txschools.net/district/university-of-texas-elem-charter-school-227819
11,22,0,227912,Lago Vista ISD,Travis,C,77,1864,https://txschools.net/district/lago-vista-isd-227912
12,22,2,227901,Austin ISD,Travis,B,81,69000,https://txschools.net/district/austin-isd-227901
12,22,2,227904,Pflugerville ISD,Travis,B,81,25028,https://txschools.net/district/pflugerville-isd-227904
12,22,2,227829,Valor Education,Travis,B,81,4738,https://txschools.net/district/valor-education-227829
15,22,0,227817,Cedars International Academy,Travis,B,83,543,https://txschools.net/district/cedars-international-academy-227817
16,22,1,227820,KIPP Texas Public Schools,Travis,B,84,31596,https://txschools.net/district/kipp-texas-public-schools-227820
16,22,1,227806,University of Texas University Charter School,Travis,B,84,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
18,22,0,227816,Harmony Public Schools - Central Texas,Travis,B,86,5679,https://txschools.net/district/harmony-public-schools-central-texas-227816
19,22,0,227804,NYOS Charter School,Travis,B,89,1808,https://txschools.net/district/nyos-charter-school-227804
20,22,0,227913,Lake Travis ISD,Travis,A,91,10748,https://txschools.net/district/lake-travis-isd-227913
21,22,0,227909,Eanes ISD,Travis,A,94,7524,https://txschools.net/district/eanes-isd-227909
22,22,0,227814,Chaparral Star Academy,Travis,A,99,385,https://txschools.net/district/chaparral-star-academy-227814
